nodename	lower	upper	average
1372	2633.99	2343.44	2488.715
1398	2689.47	2396.93	2543.2
1493	2811.27	2518.56	2664.915
1568	2944.12	2657.95	2801.035
1620	3045.39	2757.93	2901.66
1288	2561.33	2203.6	2382.465
1352	2632.1	2308.41	2470.255
1224	2475.73	2140.16	2307.9449999999997
1125	2379.45	1993.84	2186.645
1342	2609.15	2308.12	2458.635
1247	2502.24	2184.36	2343.3
1168	2430.78	2066.35	2248.565
1178	2432.28	2101.55	2266.915
1286	2534.92	2233.92	2384.42
1040	2233.12	1879.19	2056.1549999999997
927	1939.79	1483.78	1711.7849999999999
1008	2174.6	1802.94	1988.77
1117	2336.27	2009.64	2172.955
942	2002.84	1565.08	1783.96
1011	2181.41	1815.16	1998.2849999999999
1091	2303.08	1974.86	2138.97
1197	2433.26	2131.09	2282.175
1240	2481.45	2186.41	2333.93
1048	2247.81	1887.68	2067.745
1028	2214.09	1856.87	2035.48
1110	2326.89	2005.06	2165.975
1195	2431.81	2133.18	2282.495
999	2146.1	1778.99	1962.545
1121	2336.84	2021.09	2178.965
905	1791.46	1340.54	1566.0
954	2033.36	1657.73	1845.545
925	1917.52	1495.05	1706.2849999999999
974	2076.74	1714.31	1895.5249999999999
1010	2165.59	1826.73	1996.16
1200	2432.98	2133.14	2283.06
969	2061.78	1698.11	1879.9450000000002
950	2002.91	1629.28	1816.095
898	1713.35	1281.47	1497.4099999999999
949	1996.49	1631.91	1814.2
1014	2169.0	1842.03	2005.5149999999999
1092	2288.0	1984.91	2136.455
1140	2350.69	2050.64	2200.665
977	2073.3	1720.93	1897.1150000000002
899	1717.52	1270.06	1493.79
944	1978.58	1613.79	1796.185
991	2109.42	1778.47	1943.9450000000002
1033	2205.19	1887.24	2046.2150000000001
934	1936.54	1548.86	1742.6999999999998
989	2112.88	1771.07	1941.975
912	1837.98	1411.95	1624.9650000000001
937	1958.98	1592.03	1775.505
968	2042.71	1696.09	1869.4
987	2111.75	1770.83	1941.29
1023	2186.77	1859.3	2023.0349999999999
1106	2311.95	2007.45	2159.7
1176	2406.05	2110.57	2258.3100000000004
1016	2185.15	1829.83	2007.49
1097	2302.89	1990.85	2146.87
964	2065.68	1654.2	1859.94
990	2120.83	1757.31	1939.07
1052	2233.72	1908.5	2071.1099999999997
1146	2362.51	2059.74	2211.125
1228	2458.58	2165.99	2312.285
1259	2502.58	2213.48	2358.0299999999997
1293	2533.91	2248.2	2391.055
1331	2583.69	2298.15	2440.92
1373	2629.66	2345.61	2487.635
1393	2669.79	2387.25	2528.52
1438	2725.11	2441.6	2583.355
1498	2814.28	2529.69	2671.985
1553	2913.41	2629.28	2771.3450000000003
1640	3102.9	2815.52	2959.21
1663	3187.07	2898.41	3042.74
1062	2328.01	1819.43	2073.7200000000003
1574	2982.77	2638.66	2810.715
1674	3220.82	2930.8	3075.8100000000004
1684	3252.87	2963.37	3108.12
1695	3293.35	3005.99	3149.67
1127	2412.62	1953.0	2182.81
1301	2603.05	2187.24	2395.145
1540	2923.59	2583.7	2753.645
1360	2675.97	2270.44	2473.205
1488	2826.67	2477.39	2652.0299999999997
1237	2523.34	2133.88	2328.61
1349	2639.97	2287.08	2463.5249999999996
1007	2216.57	1744.39	1980.48
1211	2486.27	2105.23	2295.75
948	2047.7	1564.9	1806.3000000000002
979	2127.24	1691.75	1909.495
1005	2189.24	1772.9	1981.07
1057	2277.79	1876.82	2077.305
1174	2444.95	2072.95	2258.95
1340	2624.66	2284.57	2454.615
1460	2771.91	2452.75	2612.33
1024	2250.44	1790.01	2020.225
1166	2440.88	2036.86	2238.87
1291	2577.83	2190.85	2384.34
1150	2433.06	1994.76	2213.91
1333	2626.53	2264.72	2445.625
1427	2733.41	2407.5	2570.455
1505	2850.89	2538.09	2694.49
1560	2942.95	2629.27	2786.1099999999997
1593	3005.21	2701.47	2853.34
1631	3084.96	2785.38	2935.17
1530	2916.96	2551.19	2734.075
1621	3069.2	2746.98	2908.09
1172	2488.94	2001.88	2245.41
1277	2586.88	2153.33	2370.105
1410	2740.21	2358.81	2549.51
1063	2333.23	1821.81	2077.52
1205	2503.33	2048.57	2275.95
1332	2649.26	2222.28	2435.7700000000004
1473	2810.4	2450.44	2630.42
1543	2919.0	2594.29	2756.645
1445	2791.15	2373.95	2582.55
1626	3076.13	2769.52	2922.825
1659	3181.51	2889.84	3035.675
1412	2767.72	2329.16	2548.4399999999996
1264	2575.43	2152.32	2363.875
1363	2677.33	2274.58	2475.955
1439	2768.8	2397.74	2583.27
1536	2912.14	2580.91	2746.5249999999996
1612	3046.49	2729.74	2888.115
1433	2758.96	2397.79	2578.375
1079	2326.52	1904.55	2115.535
1177	2459.42	2072.5	2265.96
1282	2564.17	2199.07	2381.62
1359	2648.53	2299.51	2474.0200000000004
1464	2785.83	2456.54	2621.185
1269	2563.53	2186.72	2375.125
1339	2635.44	2277.02	2456.23
1198	2486.04	2077.46	2281.75
1311	2599.71	2229.09	2414.4
1437	2753.73	2420.14	2586.935
1518	2858.98	2547.7	2703.34
1567	2953.24	2652.29	2802.765
1295	2592.48	2184.85	2388.665
1020	2237.3	1792.88	2015.0900000000001
1089	2343.87	1929.13	2136.5
1158	2422.94	2036.81	2229.875
1260	2549.94	2186.41	2368.175
1369	2661.77	2315.41	2488.59
1489	2816.13	2499.43	2657.7799999999997
1432	2754.6	2403.08	2578.84
1409	2736.71	2354.89	2545.8
1136	2393.11	2012.56	2202.835
1088	2333.61	1934.43	2134.02
1189	2464.68	2098.01	2281.3450000000003
1262	2544.35	2198.69	2371.52
1042	2275.98	1839.9	2057.94
1350	2633.61	2303.78	2468.695
1105	2359.5	1962.17	2160.835
983	2142.21	1687.75	1914.98
1123	2375.3	1996.22	2185.76
1225	2488.25	2139.58	2313.915
1297	2568.84	2227.78	2398.3100000000004
1423	2727.21	2409.33	2568.27
1179	2461.92	2074.49	2268.205
1329	2611.91	2274.06	2442.9849999999997
1190	2468.96	2084.7	2276.83
1367	2649.83	2322.22	2486.0249999999996
1446	2756.33	2442.35	2599.34
1486	2807.06	2495.35	2651.205
1544	2914.26	2610.61	2762.4350000000004
1570	2954.3	2657.0	2805.65
1598	3010.27	2715.15	2862.71
1401	2725.16	2357.64	2541.3999999999996
1375	2688.39	2293.48	2490.935
1522	2872.64	2554.27	2713.455
1430	2761.44	2391.31	2576.375
1529	2894.15	2582.14	2738.145
1388	2699.69	2331.13	2515.41
1182	2474.98	2056.95	2265.965
1266	2561.03	2175.63	2368.33
1448	2762.98	2431.13	2597.0550000000003
1070	2320.01	1870.84	2095.425
1256	2546.99	2168.72	2357.8549999999996
1120	2382.24	1962.87	2172.555
1271	2555.16	2193.89	2374.5249999999996
1377	2671.83	2334.09	2502.96
1306	2589.76	2222.43	2406.0950000000003
1138	2408.81	1996.97	2202.89
1073	2320.43	1894.28	2107.355
1305	2585.68	2232.86	2409.27
1368	2660.72	2319.98	2490.35
1424	2733.26	2408.59	2570.925
1526	2881.55	2572.88	2727.215
1580	2977.09	2678.86	2827.9750000000004
1625	3062.93	2771.04	2916.9849999999997
1474	2832.73	2416.37	2624.55
1500	2862.76	2473.5	2668.13
1623	3068.25	2758.17	2913.21
1657	3166.46	2876.12	3021.29
1668	3206.1	2915.36	3060.73
1677	3234.81	2944.98	3089.895
1691	3280.99	2992.89	3136.9399999999996
1705	3337.52	3050.91	3194.215
1710	3385.47	3096.6	3241.035
1422	2780.82	2327.05	2553.9350000000004
1378	2716.32	2267.77	2492.045
1605	3042.26	2700.16	2871.21
1483	2841.11	2439.92	2640.5150000000003
1562	2968.85	2609.18	2789.015
1597	3028.8	2689.64	2859.2200000000003
1633	3102.42	2784.5	2943.46
1673	3226.79	2923.63	3075.21
1687	3259.48	2963.1	3111.29
1327	2682.06	2162.46	2422.26
1545	2945.47	2579.17	2762.3199999999997
1082	2371.39	1857.94	2114.665
1236	2547.45	2101.59	2324.52
1396	2733.33	2334.58	2533.955
1453	2794.79	2407.16	2600.975
1650	3155.32	2851.79	3003.5550000000003
1344	2659.64	2251.72	2455.68
1525	2892.99	2556.87	2724.93
1059	2308.24	1855.35	2081.795
1217	2495.43	2114.16	2304.795
1159	2428.56	2028.66	2228.61
1328	2614.44	2266.12	2440.2799999999997
936	1989.55	1528.63	1759.0900000000001
881	1496.26	999.625	1247.9425
893	1676.49	1190.48	1433.4850000000001
911	1840.42	1379.28	1609.85
935	1974.3	1526.71	1750.505
975	2109.26	1677.22	1893.2400000000002
1067	2298.82	1889.49	2094.155
1284	2566.06	2206.3	2386.1800000000003
1000	2180.25	1751.72	1965.9850000000001
956	2073.5	1607.31	1840.405
1054	2272.37	1872.84	2072.605
1122	2367.29	1996.28	2181.785
1175	2437.09	2087.46	2262.275
1258	2531.68	2189.36	2360.52
1335	2617.0	2284.4	2450.7
1462	2781.49	2457.91	2619.7
1532	2895.96	2590.05	2743.005
1130	2408.55	1968.73	2188.6400000000003
1354	2652.49	2291.64	2472.0649999999996
1231	2525.04	2102.81	2313.925
1421	2744.85	2390.53	2567.69
1495	2831.41	2508.15	2669.7799999999997
1561	2941.79	2638.32	2790.0550000000003
1589	2995.92	2695.14	2845.5299999999997
1287	2605.39	2153.88	2379.635
1107	2391.17	1917.61	2154.39
1235	2532.44	2110.03	2321.235
1370	2680.46	2288.47	2484.465
1476	2816.04	2452.65	2634.3450000000003
1600	3025.53	2709.92	2867.7250000000004
1641	3117.96	2822.82	2970.3900000000003
1450	2795.8	2390.54	2593.17
1558	2957.96	2604.95	2781.455
1210	2521.79	2036.65	2279.2200000000003
1504	2864.65	2504.81	2684.73
1614	3046.3	2732.66	2889.48
1519	2890.28	2521.2	2705.74
1442	2790.7	2380.34	2585.52
1242	2556.02	2098.74	2327.38
1314	2625.74	2197.97	2411.8549999999996
1383	2702.33	2306.29	2504.31
1466	2800.05	2439.13	2619.59
1588	3000.65	2685.09	2842.87
1599	3021.45	2710.66	2866.055
1629	3083.7	2776.47	2930.085
1646	3144.77	2848.8	2996.785
1667	3202.8	2909.97	3056.385
1678	3238.13	2946.68	3092.4049999999997
1704	3339.4	3047.31	3193.355
1717	3432.51	3143.85	3288.1800000000003
1719	3462.08	3173.0	3317.54
1720	3468.94	3180.35	3324.645
1611	3134.24	2609.57	2871.9049999999997
1501	2895.06	2431.3	2663.1800000000003
1702	3349.14	3002.77	3175.955
1608	3067.3	2681.87	2874.585
1069	2368.61	1794.17	2081.3900000000003
1268	2612.68	2112.18	2362.43
1283	2621.46	2133.69	2377.575
1418	2777.02	2341.91	2559.465
1578	3006.51	2630.89	2818.7
1644	3154.85	2820.17	2987.51
1058	2334.5	1807.17	2070.835
1361	2693.96	2256.65	2475.3050000000003
1490	2850.84	2454.82	2652.83
1601	3036.76	2685.48	2861.12
1655	3182.06	2848.35	3015.205
1683	3261.47	2951.05	3106.26
980	2196.66	1588.89	1892.775
1151	2463.66	1934.99	2199.325
1666	3225.98	2878.08	3052.0299999999997
1706	3351.29	3049.2	3200.245
1713	3404.95	3110.14	3257.545
1721	3481.64	3188.98	3335.31
1725	3553.34	3261.56	3407.45
1184	2544.35	1951.61	2247.98
1653	3187.31	2833.58	3010.4449999999997
1696	3303.17	2999.39	3151.2799999999997
1162	2480.29	1961.31	2220.8
1241	2575.42	2079.59	2327.505
1444	2796.46	2369.46	2582.96
1459	2834.39	2351.83	2593.1099999999997
1603	3042.64	2690.84	2866.74
1542	2951.68	2540.84	2746.26
1400	2761.53	2296.96	2529.245
1436	2796.13	2343.92	2570.025
1539	2940.69	2539.4	2740.045
1609	3050.26	2700.3	2875.28
1642	3147.54	2819.48	2983.51
1676	3239.82	2937.07	3088.445
1693	3292.49	2990.45	3141.47
1708	3366.34	3077.38	3221.86
1531	2922.33	2540.67	2731.5
1513	2887.94	2494.2	2691.0699999999997
947	2067.33	1522.82	1795.0749999999998
1021	2245.24	1771.91	2008.5749999999998
1232	2519.3	2120.15	2319.7250000000004
1346	2644.12	2273.83	2458.975
1238	2528.83	2128.67	2328.75
887	1624.69	1089.03	1356.8600000000001
926	1936.0	1486.27	1711.135
891	1639.35	1133.86	1386.605
901	1761.58	1280.38	1520.98
896	1730.27	1245.8	1488.0349999999999
922	1917.35	1464.29	1690.82
958	2058.77	1622.96	1840.865
1009	2191.81	1791.84	1991.8249999999998
1379	2682.48	2324.8	2503.6400000000003
1472	2798.58	2464.55	2631.565
1507	2854.89	2527.63	2691.26
1133	2420.07	1969.91	2194.9900000000002
1041	2300.55	1809.84	2055.195
1165	2458.12	2025.55	2241.835
1279	2575.79	2177.12	2376.455
1440	2773.12	2402.46	2587.79
1343	2668.97	2245.24	2457.1049999999996
1585	2994.12	2678.64	2836.38
1624	3065.51	2762.13	2913.82
1651	3152.18	2853.27	3002.725
1671	3215.81	2921.95	3068.88
1686	3255.47	2963.56	3109.515
1434	2804.32	2322.54	2563.4300000000003
1199	2532.1	1995.11	2263.605
1355	2693.94	2233.91	2463.925
1503	2871.78	2485.57	2678.675
1595	3022.61	2690.0	2856.3050000000003
1292	2635.9	2102.16	2369.0299999999997
1555	2958.81	2587.16	2772.9849999999997
1416	2781.03	2309.66	2545.3450000000003
1511	2886.59	2489.71	2688.15
1628	3079.2	2768.3	2923.75
1654	3161.44	2866.32	3013.88
1044	2340.81	1720.36	2030.585
1417	2764.74	2335.36	2550.05
1639	3097.7	2796.61	2947.1549999999997
1345	2673.77	2220.45	2447.1099999999997
1213	2529.25	2066.16	2297.705
1309	2618.59	2196.66	2407.625
1429	2761.84	2385.01	2573.425
1034	2298.21	1781.4	2039.805
1220	2516.49	2081.94	2299.215
1381	2690.97	2312.46	2501.715
1502	2852.16	2514.26	2683.21
1559	2940.94	2629.03	2784.985
1411	2730.4	2367.72	2549.06
1080	2321.59	1894.0	2107.795
1223	2493.93	2122.98	2308.455
972	2105.5	1653.55	1879.525
1029	2235.45	1844.84	2040.145
1129	2369.36	2011.24	2190.3
981	2148.79	1664.41	1906.6
1066	2279.66	1911.07	2095.365
1212	2463.94	2127.74	2295.84
923	1935.53	1458.08	1696.8049999999998
988	2150.5	1736.08	1943.29
951	2051.67	1590.06	1820.865
1039	2236.36	1867.24	2051.8
1139	2375.75	2026.3	2201.025
1254	2509.82	2183.17	2346.495
1408	2704.85	2391.54	2548.1949999999997
1492	2811.6	2505.66	2658.63
1569	2951.21	2654.58	2802.895
894	1709.78	1173.34	1441.56
915	1876.63	1407.86	1642.245
907	1830.37	1322.78	1576.5749999999998
965	2085.73	1651.63	1868.68
998	2175.83	1755.34	1965.585
1145	2392.63	2022.82	2207.725
1477	2795.95	2475.27	2635.6099999999997
1280	2569.61	2172.15	2370.88
1206	2486.05	2074.24	2280.145
1318	2602.22	2239.08	2420.6499999999996
1071	2311.51	1868.85	2090.1800000000003
924	1975.42	1420.42	1697.92
1019	2240.7	1784.14	2012.42
1135	2389.69	2003.07	2196.38
1278	2550.36	2205.13	2377.745
1047	2278.56	1838.17	2058.365
908	1858.57	1303.4	1580.9850000000001
940	2035.34	1522.23	1778.7849999999999
1218	2488.59	2121.99	2305.29
1290	2562.17	2215.14	2388.6549999999997
1147	2414.01	2004.94	2209.4750000000004
1358	2641.49	2315.11	2478.3
1395	2694.52	2377.99	2536.255
1451	2756.95	2451.82	2604.385
1523	2868.22	2570.23	2719.225
1582	2972.74	2684.68	2828.71
1315	2602.06	2230.17	2416.115
1347	2627.39	2287.83	2457.6099999999997
959	2086.82	1578.03	1832.4250000000002
1075	2295.35	1928.18	2111.765
1055	2272.57	1883.81	2078.19
1035	2234.39	1876.15	2055.27
961	2058.3	1646.78	1852.54
1001	2159.85	1779.18	1969.5149999999999
1086	2297.16	1971.86	2134.5099999999998
957	2026.05	1664.37	1845.21
889	1572.18	1232.59	1402.385
870	1100.71	807.229	953.9695
872	1147.82	849.416	998.6179999999999
875	1276.52	970.09	1123.305
873	1169.89	868.572	1019.231
874	1227.88	924.236	1076.058
879	1363.32	1051.87	1207.5949999999998
885	1518.32	1200.91	1359.615
903	1710.72	1388.77	1549.745
917	1837.14	1510.66	1673.9
938	1953.46	1625.65	1789.555
1037	2221.1	1900.68	2060.89
1078	2280.16	1959.97	2120.065
1132	2360.66	2049.65	2205.1549999999997
1202	2446.92	2138.17	2292.545
1261	2525.62	2216.54	2371.08
1337	2606.71	2304.92	2455.815
1527	2878.0	2588.66	2733.33
1565	2939.61	2649.94	2794.775
1619	3045.04	2759.27	2902.1549999999997
1632	3082.24	2799.87	2941.055
1658	3169.39	2885.77	3027.58
1672	3212.43	2928.77	3070.6
1690	3276.23	2989.91	3133.0699999999997
1715	3427.25	3141.34	3284.295
1722	3482.84	3195.34	3339.09
1399	2773.68	2277.67	2525.675
1294	2619.19	2164.53	2391.86
1234	2524.09	2139.32	2331.705
1180	2475.71	2077.09	2276.4
1248	2541.49	2160.32	2350.9049999999997
1308	2597.86	2230.61	2414.235
1169	2459.44	2041.56	2250.5
1338	2635.79	2277.67	2456.73
1455	2782.72	2434.13	2608.425
1108	2372.76	1953.53	2163.145
1185	2470.13	2075.43	2272.7799999999997
1219	2497.58	2110.95	2304.265
1307	2595.11	2223.28	2409.195
1386	2693.95	2337.12	2515.535
1491	2834.44	2495.62	2665.0299999999997
1552	2935.39	2615.87	2775.63
1481	2857.47	2414.64	2636.055
1618	3055.74	2745.67	2900.705
963	2096.58	1622.11	1859.3449999999998
1006	2210.66	1762.85	1986.7549999999999
1104	2363.76	1954.87	2159.315
1257	2549.6	2167.76	2358.6800000000003
1095	2354.92	1920.04	2137.48
1222	2498.38	2110.5	2304.44
1351	2650.86	2283.67	2467.2650000000003
1313	2615.97	2212.38	2414.175
1148	2468.84	1941.04	2204.94
1428	2752.52	2389.97	2571.245
1478	2806.22	2460.96	2633.59
1364	2697.47	2255.12	2476.295
1330	2666.93	2199.85	2433.39
1508	2865.83	2510.72	2688.2749999999996
1541	2918.34	2582.78	2750.5600000000004
1267	2590.38	2136.21	2363.295
1357	2679.0	2266.52	2472.76
1449	2779.45	2412.28	2595.865
1046	2324.44	1761.57	2043.005
1571	2967.88	2641.84	2804.86
1610	3039.71	2727.7	2883.705
1638	3099.11	2798.66	2948.885
1669	3209.37	2921.99	3065.68
1703	3320.39	3036.25	3178.3199999999997
1454	2777.05	2430.54	2603.795
1336	2634.6	2266.05	2450.325
1323	2615.5	2245.22	2430.3599999999997
