COG	metadata	polarity
COG1699	Mean_Oxygen	negative
COG3256	Mean_Oxygen	negative
COG0265	Mean_Oxygen	negative
COG3211	sqrt_iron	positive
COG3638	log_PO4	negative
COG0053	sqrt_iron	positive
COG0558	Mean_Oxygen	negative
COG2008	sqrt_iron	positive
COG1313	Mean_Oxygen	negative
COG0838	Mean_Oxygen	negative
COG2864	sqrt_iron	positive
COG1733	sqrt_iron	positive
COG0493	Mean_Oxygen	negative
COG4138	log_PO4	positive
COG4922	log_PO4	positive
COG3197	log_PO4	positive
COG2078	Mean_Oxygen	negative
COG4502	Mean_Oxygen	negative
COG1918	Mean_Oxygen	negative
COG2374	sqrt_iron	positive
COG4242	sqrt_iron	positive
COG5602	Mean_Oxygen	negative
COG1355	Mean_Oxygen	negative
COG3213	Mean_Oxygen	negative
COG1940	sqrt_iron	positive
COG4271	log_NO2NO3	negative
COG4287	Mean_Oxygen	negative
COG4214	Mean_Oxygen	positive
COG1512	sqrt_iron	positive
COG4359	sqrt_iron	positive
COG1180	Mean_Oxygen	negative
COG3656	log_PO4	positive
COG1643	sqrt_iron	positive
COG2896	sqrt_iron	positive
COG2375	Mean_Oxygen	positive
COG4568	log_PO4	positive
COG1887	log_PO4	positive
COG2430	Mean_Oxygen	negative
COG3270	log_PO4	positive
COG3012	sqrt_iron	positive
COG4759	Mean_Oxygen	negative
COG0243	sqrt_iron	positive
COG3608	sqrt_iron	positive
COG2188	sqrt_iron	positive
COG3304	sqrt_iron	positive
COG2335	Mean_Oxygen	positive
COG1900	sqrt_iron	positive
COG4334	log_NO2NO3	negative
COG3005	Mean_Oxygen	negative
COG3221	log_PO4	negative
COG2977	Mean_Oxygen	negative
COG3940	log_PO4	positive
COG2043	Mean_Oxygen	negative
COG4558	log_PO4	positive
COG5518	log_PO4	positive
COG0507	log_NO2NO3	negative
COG3684	Mean_Oxygen	negative
COG1837	Mean_Oxygen	negative
COG0276	sqrt_iron	negative
COG3383	sqrt_iron	positive
COG3750	Mean_Oxygen	positive
COG5563	Mean_Oxygen	negative
COG3724	Mean_Oxygen	positive
COG2250	sqrt_iron	positive
COG2451	log_PO4	positive
COG4608	Mean_Oxygen	negative
COG3559	log_NO2NO3	negative
COG3381	sqrt_iron	positive
COG2384	log_PO4	positive
COG3467	Mean_Oxygen	negative
COG4454	log_PO4	negative
COG1514	Mean_Oxygen	negative
COG3298	Mean_Oxygen	negative
COG4564	log_PO4	positive
COG5479	Mean_Oxygen	negative
COG4177	Mean_Oxygen	negative
COG5394	Mean_Oxygen	negative
COG4275	log_PO4	positive
COG5595	log_PO4	positive
COG0451	sqrt_iron	negative
COG2717	sqrt_iron	positive
COG0852	Mean_Oxygen	negative
COG1493	Mean_Oxygen	positive
COG0609	log_PO4	positive
COG2210	sqrt_iron	positive
COG3762	Mean_Oxygen	positive
COG1944	log_PO4	positive
COG3861	log_PO4	negative
COG0438	log_PO4	negative
COG1533	Mean_Oxygen	negative
COG3440	sqrt_iron	negative
COG3872	Mean_Oxygen	negative
COG2375	log_PO4	positive
COG1802	sqrt_iron	positive
COG2041	sqrt_iron	positive
COG4326	log_PO4	positive
COG0574	Mean_Oxygen	negative
COG1480	sqrt_iron	negative
COG1920	Mean_Oxygen	negative
COG1456	Mean_Oxygen	negative
COG3363	log_NO2NO3	positive
COG4485	Mean_Oxygen	negative
COG0656	sqrt_iron	positive
COG1399	sqrt_iron	positive
COG4264	log_PO4	positive
COG3110	log_PO4	positive
COG2329	sqrt_iron	negative
COG2048	Mean_Oxygen	negative
COG2264	Mean_Oxygen	positive
COG0411	Mean_Oxygen	negative
COG0649	Mean_Oxygen	negative
COG3708	log_PO4	positive
COG0252	sqrt_iron	positive
COG2872	Mean_Oxygen	negative
COG4193	sqrt_iron	positive
COG0062	Mean_Oxygen	negative
COG1576	Mean_Oxygen	positive
COG0444	Mean_Oxygen	negative
COG1555	sqrt_iron	positive
COG3799	log_NO2NO3	positive
COG3784	log_PO4	positive
COG3326	log_PO4	positive
COG1852	Mean_Oxygen	negative
COG0501	Mean_Oxygen	negative
COG0823	Mean_Oxygen	negative
COG1529	sqrt_iron	positive
COG2833	sqrt_iron	positive
COG2183	log_PO4	positive
COG4559	Mean_Oxygen	positive
COG0701	sqrt_iron	positive
COG1001	log_NO2NO3	positive
COG3726	log_PO4	positive
COG3734	Mean_Oxygen	positive
COG1476	sqrt_iron	positive
COG3295	log_PO4	positive
COG5055	log_NO2NO3	negative
COG1850	log_PO4	negative
COG1945	Mean_Oxygen	negative
COG2080	Mean_Oxygen	negative
COG4704	log_PO4	positive
COG1171	Mean_Oxygen	positive
COG4538	log_PO4	positive
COG2080	sqrt_iron	positive
COG2095	sqrt_iron	positive
COG4635	Mean_Oxygen	positive
COG1286	Mean_Oxygen	positive
COG1075	log_NO2NO3	negative
COG1597	sqrt_iron	positive
COG3138	Mean_Oxygen	positive
COG0182	Mean_Oxygen	negative
COG4121	Mean_Oxygen	positive
COG2922	log_PO4	positive
COG1874	Mean_Oxygen	positive
COG3347	Mean_Oxygen	negative
COG5652	Mean_Oxygen	negative
COG3910	sqrt_iron	positive
COG1305	log_NO2NO3	negative
COG3770	Mean_Oxygen	positive
COG3812	Mean_Oxygen	positive
COG1108	Mean_Oxygen	positive
COG3096	log_PO4	positive
COG3098	sqrt_iron	positive
COG3794	sqrt_iron	negative
COG1681	Mean_Oxygen	negative
COG2176	Mean_Oxygen	negative
COG2032	sqrt_iron	positive
COG4752	Mean_Oxygen	negative
COG0144	Mean_Oxygen	positive
COG2352	sqrt_iron	negative
COG4674	log_NO2NO3	negative
COG3839	sqrt_iron	positive
COG2825	log_PO4	positive
COG0241	Mean_Oxygen	negative
COG0348	sqrt_iron	positive
COG0489	log_PO4	negative
COG5607	sqrt_iron	positive
COG1246	sqrt_iron	positive
COG1921	Mean_Oxygen	negative
COG0397	Mean_Oxygen	positive
COG2606	Mean_Oxygen	negative
COG4421	Mean_Oxygen	negative
COG3227	log_PO4	positive
COG1564	Mean_Oxygen	negative
COG1733	log_PO4	positive
COG2081	Mean_Oxygen	positive
COG2908	log_PO4	negative
COG3552	Mean_Oxygen	negative
