COG
COG1833
COG5013
COG4012
COG1274
COG3261
COG2006
COG2403
COG1014
COG1148
COG0581
COG2181
COG2391
COG1117
COG0226
COG0674
COG1150
COG0394
COG1140
COG1379
COG2044
COG1013
COG1030
COG1856
COG2164
COG0573
COG3857
COG4889
COG1775
COG2180
COG1144
COG0247
COG0704
COG4647
COG3365
COG2221
COG1592
COG3627
COG1647
COG3624
COG4700
COG2231
COG3640
COG2088
COG0248
COG4284
COG1913
COG3044
COG2461
COG2878
COG1369
COG3481
COG0855
COG3883
COG2768
COG3360
COG3973
COG2121
COG3625
COG0746
COG4912
COG5496
COG1657
COG1005
COG2362
COG2014
COG3639
COG1760
COG3046
COG4012
COG2168
COG3626
COG3051
COG2150
COG2414
COG1032
COG4635
COG2223
COG4106
COG1035
COG1415
COG3164
COG3655
COG4742
COG1254
COG4778
COG3245
COG1139
COG4107
COG4731
COG1934
COG3364
COG4864
COG0826
COG2258
COG0386
COG4559
COG2316
COG0683
COG5309
COG3273
COG1850
COG1526
COG0300
COG1426
COG1838
COG2205
COG3296
COG4987
COG1461
COG2074
COG3958
COG1080
COG1184
COG3615
COG1695
COG0543
COG0314
COG1392
COG3112
COG0609
COG1637
COG1307
COG4558
COG4263
COG3664
COG0521
COG5421
COG4301
COG2509
COG3886
COG4249
COG4347
COG2267
COG4898
COG3961
COG2430
COG0412
COG1260
COG4247
COG0303
COG3454
COG3155
COG3372
COG3269
COG5014
COG0315
COG1824
COG3057
COG0306
COG5282
COG1881
COG3111
COG4856
COG3185
COG3783
COG0410
COG0366
COG1442
COG4682
COG3243
COG3709
COG3959
COG0243
COG1951
COG3676
COG2451
COG3164
COG3803
COG3099
COG0713
COG4231
COG4289
COG0415
COG3978
COG4579
COG0220
COG1007
COG3287
COG3635
COG3102
COG5660
COG0377
COG4628
COG3782
COG1350
COG2128
COG5395
COG3284
COG1597
COG1699
COG3256
COG0265
COG3211
COG3638
COG0053
COG0558
COG2008
COG1313
COG0838
COG2864
COG1733
COG0493
COG4138
COG4922
COG3197
COG2078
COG4502
COG1918
COG2374
COG4242
COG5602
COG1355
COG3213
COG1940
COG4271
COG4287
COG4214
COG1512
COG4359
COG1180
COG3656
COG1643
COG2896
COG2375
COG4568
COG1887
COG2430
COG3270
COG3012
COG4759
COG0243
COG3608
COG2188
COG3304
COG2335
COG1900
COG4334
COG3005
COG3221
COG2977
COG3940
COG2043
COG4558
COG5518
COG0507
COG3684
COG1837
COG0276
COG3383
COG3750
COG5563
COG3724
COG2250
COG2451
COG4608
COG3559
COG3381
COG2384
COG3467
COG4454
COG1514
COG3298
COG4564
COG5479
COG4177
COG5394
COG4275
COG5595
COG0451
COG2717
COG0852
COG1493
COG0609
COG2210
COG3762
COG1944
COG3861
COG0438
COG1533
COG3440
COG3872
COG2375
COG1802
COG2041
COG4326
COG0574
COG1480
COG1920
COG1456
COG3363
COG4485
COG0656
COG1399
COG4264
COG3110
COG2329
COG2048
COG2264
COG0411
COG0649
COG3708
COG0252
COG2872
COG4193
COG0062
COG1576
COG0444
COG1555
COG3799
COG3784
COG3326
COG1852
COG0501
COG0823
COG1529
COG2833
COG2183
COG4559
COG0701
COG1001
COG3726
COG3734
COG1476
COG3295
COG5055
COG1850
COG1945
COG2080
COG4704
COG1171
COG4538
COG2080
COG2095
COG4635
COG1286
COG1075
COG1597
COG3138
COG0182
COG4121
COG2922
COG1874
COG3347
COG5652
COG3910
COG1305
COG3770
COG3812
COG1108
COG3096
COG3098
COG3794
COG1681
COG2176
COG2032
COG4752
COG0144
COG2352
COG4674
COG3839
COG2825
COG0241
COG0348
COG0489
COG5607
COG1246
COG1921
COG0397
COG2606
COG4421
COG3227
COG1564
COG1733
COG2081
COG2908
COG3552
COG1957
COG0598
COG3266
COG0542
COG1132
COG0737
COG1662
COG0461
COG3530
COG0786
COG1310
COG4653
COG2971
COG0444
COG0745
COG1628
COG1193
COG0063
COG0103
COG4581
COG4213
COG0333
COG1035
COG2881
COG1585
COG3949
COG3203
COG1443
COG4324
COG0646
COG2110
COG2191
COG0609
COG4775
COG1049
COG4807
COG4456
COG2023
COG3427
COG3492
COG0654
COG1672
COG0750
COG3844
COG3680
COG2358
COG1319
COG1414
COG0400
COG2407
COG0839
COG3170
COG0174
COG3380
COG3608
COG1965
COG2969
COG1429
COG1617
COG3191
COG3456
COG3889
COG1656
COG4558
COG2991
COG2905
COG2956
COG5379
COG4271
COG5265
COG4654
COG2095
COG3071
COG2187
COG0770
COG0169
COG1523
COG1414
COG0388
COG5212
COG1915
COG0105
COG4519
COG0535
COG0542
COG0672
COG1529
COG1231
COG1902
COG5026
COG1403
COG3737
COG4263
COG0483
COG1928
COG1854
COG2105
COG1760
COG1915
COG3595
COG3607
COG1894
COG1195
COG1832
COG0676
COG3290
COG1250
COG1858
COG0026
COG1894
COG0006
COG3253
COG2957
COG4690
COG1089
COG4230
COG4268
COG4123
COG1395
COG0109
COG2859
COG3865
COG3940
COG1649
COG3104
COG3090
COG0043
COG3059
COG3367
COG4565
COG4747
COG5006
COG2716
COG0163
COG1328
COG1534
COG4339
COG1283
COG5524
COG1162
COG3975
COG3150
COG1648
COG0520
COG4642
COG0277
COG1574
COG0039
COG2036
COG1257
COG1716
COG3078
COG1382
COG1362
COG3677
COG1581
COG2990
COG5518
COG0425
COG0103
COG2451
COG2062
COG0377
COG3869
COG2135
COG1783
COG3536
COG3614
COG1368
COG1748
COG1151
COG3298
COG2402
COG3006
COG2170
COG0484
COG2224
COG5491
COG4999
COG4559
COG3043
COG0826
COG3066
COG0606
COG1187
COG3665
COG3900
COG1975
COG1372
COG4895
COG0225
COG1055
COG1808
COG3005
COG1280
COG1872
COG1902
COG2983
COG4063
COG0847
COG0357
COG0128
COG1522
COG3062
COG5255
COG0491
COG0436
COG2159
COG0235
COG1278
COG2265
COG0702
COG1448
COG3620
COG3236
COG3671
COG0726
COG4392
COG5607
COG0658
COG1988
COG3345
COG0685
COG3470
COG2071
COG4446
COG1774
COG1453
COG3342
COG0465
COG2084
COG3215
COG4579
COG2938
COG3276
COG1562
COG3154
COG1321
COG3098
COG3880
COG1146
COG2246
COG4878
COG4618
COG1546
COG0526
COG2915
COG0247
COG1628
COG3128
COG4815
COG2850
COG3850
COG4341
COG0820
COG2118
