"right.node","left.node","event","left.date","right.date","midpoint.date","left.BT_node","left.origin","left.leaves_count","right.BT_node","right.origin","right.leaves_count"
"1458",1458,"spe",2011.28,2011.28,2011.28,614,"not_sure",10,"614","not_sure",10
"1393",1393,"spe",1872.885,1872.885,1872.885,616,"not_sure",8,"616","not_sure",8
"1251",1251,"spe",1667.965,1667.965,1667.965,620,"not_sure",4,"620","not_sure",4
"1084",1251,"los",1667.965,1465.43,1566.6975,620,"not_sure",4,"621","marine_deep.marine_shallow",3
"1269",1269,"spe",1686.58,1686.58,1686.58,631,"not_sure",7,"631","not_sure",7
"1078",1078,"spe",1451.145,1451.145,1451.145,635,"marine_deep",3,"635","marine_deep",3
"957",957,"spe",1285.645,1285.645,1285.645,636,"marine_deep",2,"636","marine_deep",2
"900",900,"spe",1096.349,1096.349,1096.349,639,"marine_deep",2,"639","marine_deep",2
"1011",1011,"spe",1360.255,1360.255,1360.255,638,"marine_deep",3,"638","marine_deep",3
"1279",1468,"hgt",2017.715,1673.82,1845.7675,432,"not_sure",4,"433","not_sure",2
"1279",1279,"spe",1673.82,1673.82,1673.82,433,"not_sure",2,"433","not_sure",2
"1456",1456,"spe",1989.36,1989.36,1989.36,644,"marine_deep",8,"644","marine_deep",8
"1233",1233,"spe",1620.075,1620.075,1620.075,645,"not_sure",7,"645","not_sure",7
"1075",1075,"spe",1424.27,1424.27,1424.27,646,"not_sure",6,"646","not_sure",6
"1234",1234,"spe",1643.22,1643.22,1643.22,481,"marine_shallow",3,"481","marine_shallow",3
"1153",1458,"hgt",2011.28,1546.995,1779.1375,614,"not_sure",10,"615","not_sure",2
"1153",1153,"spe",1546.995,1546.995,1546.995,615,"not_sure",2,"615","not_sure",2
"1337",1551,"hgt",2255.985,1697.815,1976.9,624,"not_sure",19,"625","marine_deep",2
"1337",1337,"spe",1697.815,1697.815,1697.815,625,"marine_deep",2,"625","marine_deep",2
"1337",1551,"los",2255.985,1697.815,1976.9,624,"not_sure",19,"625","marine_deep",2
"1288",1393,"hgt",1872.885,1712.115,1792.5,616,"not_sure",8,"617","not_sure",4
"1288",1288,"spe",1712.115,1712.115,1712.115,617,"not_sure",4,"617","not_sure",4
"1288",1288,"spe",1712.115,1712.115,1712.115,617,"not_sure",4,"617","not_sure",4
"1021",1123,"los",1509.365,1388.78,1449.0725,618,"not_sure",3,"619","not_sure",2
"1021",1021,"spe",1388.78,1388.78,1388.78,619,"not_sure",2,"619","not_sure",2
"1123",1123,"spe",1509.365,1509.365,1509.365,618,"not_sure",3,"618","not_sure",3
"1123",1123,"spe",1509.365,1509.365,1509.365,618,"not_sure",3,"618","not_sure",3
"1213",1213,"spe",1602.185,1602.185,1602.185,670,"not_sure",2,"670","not_sure",2
"1140",1140,"spe",1519.645,1519.645,1519.645,664,"not_sure",5,"664","not_sure",5
"1216",1216,"spe",1607.725,1607.725,1607.725,663,"not_sure",6,"663","not_sure",6
"921",921,"spe",1148.381,1148.381,1148.381,666,"marine_deep",3,"666","marine_deep",3
"971",1262,"hgt",1695.79,1335.97,1515.88,605,"not_sure",3,"606","marine_shallow",2
"971",971,"spe",1335.97,1335.97,1335.97,606,"marine_shallow",2,"606","marine_shallow",2
"1262",1390,"los",1896.845,1695.79,1796.3175,604,"marine_shallow",6,"605","not_sure",3
"1192",1192,"spe",1576.985,1576.985,1576.985,628,"not_sure",3,"628","not_sure",3
"1032",1192,"los",1576.985,1401.9,1489.4425,628,"not_sure",3,"629","not_sure",2
"1032",1192,"hgt",1576.985,1401.9,1489.4425,628,"not_sure",3,"629","not_sure",2
"1032",1032,"spe",1401.9,1401.9,1401.9,629,"not_sure",2,"629","not_sure",2
"1581",1581,"spe",2315.495,2315.495,2315.495,203,"not_sure",3,"203","not_sure",3
"1672",1708,"hgt",3210.05,2713.19,2961.62,201,"terrestrial",137,"202","terrestrial",4
"1672",1672,"spe",2713.19,2713.19,2713.19,202,"terrestrial",4,"202","terrestrial",4
"1066",1581,"hgt",2315.495,1504.32,1909.9075,203,"not_sure",3,"204","not_sure",2
"1066",1581,"los",2315.495,1504.32,1909.9075,203,"not_sure",3,"204","not_sure",2
"990",990,"spe",1333.34,1333.34,1333.34,658,"not_sure",2,"658","not_sure",2
"1318",1318,"spe",1678.19,1678.19,1678.19,672,"not_sure",2,"672","not_sure",2
"922",922,"spe",1206.9915,1206.9915,1206.9915,634,"marine_deep",2,"634","marine_deep",2
"1018",1018,"spe",1387.715,1387.715,1387.715,633,"marine_deep",3,"633","marine_deep",3
"1152",1152,"spe",1548.89,1548.89,1548.89,632,"not_sure",4,"632","not_sure",4
"882",882,"spe",955.8,955.8,955.8,667,"marine_shallow",2,"667","marine_shallow",2
"1005",1234,"los",1643.22,1373.315,1508.2675,481,"marine_shallow",3,"482","not_sure",2
"1420",1420,"spe",1902.285,1902.285,1902.285,611,"not_sure",3,"611","not_sure",3
"1007",1420,"los",1902.285,1418.775,1660.53,611,"not_sure",3,"612","not_sure",2
"1007",1420,"hgt",1902.285,1418.775,1660.53,611,"not_sure",3,"612","not_sure",2
"969",1140,"los",1519.645,1284.875,1402.26,664,"not_sure",5,"665","marine_deep.marine_shallow",2
"969",1140,"hgt",1519.645,1284.875,1402.26,664,"not_sure",5,"665","marine_deep.marine_shallow",2
"1149",1149,"spe",1516.66,1516.66,1516.66,652,"not_sure",2,"652","not_sure",2
"1003",1003,"spe",1365.895,1365.895,1365.895,675,"not_sure",2,"675","not_sure",2
