"right.node","left.node","event","left.date","right.date","midpoint.date","left.BT_node","left.marine_deep","left.marine_shallow","left.terrestrial","left.leaves_count","right.BT_node","right.marine_deep","right.marine_shallow","right.terrestrial","right.leaves_count"
"1638",1638,"spe",2616.235,2616.235,2616.235,386,"0.302013","0.609139","0.088848",67,"386","0.302013","0.609139","0.088848",67
"1573",1573,"spe",2336.71,2336.71,2336.71,430,"0.136822","0.726355","0.136822",23,"430","0.136822","0.726355","0.136822",23
"1512",1512,"spe",2137.8,2137.8,2137.8,436,"0.504227","0.447220","0.048553",17,"436","0.504227","0.447220","0.048553",17
"1412",1512,"los",2137.8,1905.655,2021.7275,436,"0.504227","0.447220","0.048553",17,"441","0.203651","0.368017","0.428332",12
"1554",1607,"hgt",2426.135,2263,2344.5675,642,"0.503466","0.446317","0.050217",57,"643","0.175110","0.649780","0.175110",27
"1554",1554,"spe",2263,2263,2263,643,"0.175110","0.649780","0.175110",27,"643","0.175110","0.649780","0.175110",27
"1477",1477,"spe",2039.05,2039.05,2039.05,651,"0.140922","0.543062","0.316015",19,"651","0.140922","0.543062","0.316015",19
"1397",1397,"spe",1862.485,1862.485,1862.485,653,"0.066424","0.514389","0.419188",17,"653","0.066424","0.514389","0.419188",17
"1338",1338,"spe",1779.53,1779.53,1779.53,656,"0.052201","0.509883","0.437916",14,"656","0.052201","0.509883","0.437916",14
"1034",1292,"los",1708.06,1384.555,1546.3075,662,"0.183931","0.632139","0.183931",8,"668","0.115958","0.263649","0.620393",2
"1292",1292,"spe",1708.06,1708.06,1708.06,662,"0.183931","0.632139","0.183931",8,"662","0.183931","0.632139","0.183931",8
"1212",1212,"spe",1606.55,1606.55,1606.55,657,"0.198580","0.450805","0.350615",6,"657","0.198580","0.450805","0.350615",6
"1086",1086,"spe",1451.1,1451.1,1451.1,659,"0.050823","0.479258","0.469919",4,"659","0.050823","0.479258","0.469919",4
"1109",1289,"hgt",1720.66,1512.585,1616.6225,508,"0.013347","0.013347","0.973305",4,"509","0.062977","0.062977","0.874045",3
"1109",1109,"spe",1512.585,1512.585,1512.585,509,"0.062977","0.062977","0.874045",3,"509","0.062977","0.062977","0.874045",3
"1391",1391,"spe",1855.945,1855.945,1855.945,437,"0.654795","0.319937","0.025268",5,"437","0.654795","0.319937","0.025268",5
"1028",1028,"spe",1399.46,1399.46,1399.46,440,"0.414218","0.488183","0.097599",2,"440","0.414218","0.488183","0.097599",2
"1130",1130,"spe",1513.555,1513.555,1513.555,439,"0.534502","0.285137","0.180362",3,"439","0.534502","0.285137","0.180362",3
"897",998,"los",1336.995,1096.0955,1216.54525,660,"0.085861","0.650410","0.263729",3,"661","0.088050","0.578404","0.333546",2
"998",998,"spe",1336.995,1336.995,1336.995,660,"0.085861","0.650410","0.263729",3,"660","0.085861","0.650410","0.263729",3
"1207",1397,"los",1862.485,1576.575,1719.53,653,"0.066424","0.514389","0.419188",17,"654","0.214938","0.430320","0.354742",3
"1623",1623,"spe",2520.86,2520.86,2520.86,387,"0.376909","0.538064","0.085028",44,"387","0.376909","0.538064","0.085028",44
"1596",1623,"hgt",2520.86,2419.635,2470.2475,387,"0.376909","0.538064","0.085028",44,"401","0.294646","0.169608","0.535746",30
"1596",1596,"spe",2419.635,2419.635,2419.635,401,"0.294646","0.169608","0.535746",30,"401","0.294646","0.169608","0.535746",30
"1569",1569,"spe",2325.31,2325.31,2325.31,409,"0.084465","0.231815","0.683720",22,"409","0.084465","0.231815","0.683720",22
"1520",1569,"los",2325.31,2147.98,2236.645,409,"0.084465","0.231815","0.683720",22,"411","0.164919","0.389241","0.445839",20
"1593",1593,"spe",2397.91,2397.91,2397.91,388,"0.493801","0.436634","0.069565",14,"388","0.493801","0.436634","0.069565",14
"1541",1593,"hgt",2397.91,2224.065,2310.9875,388,"0.493801","0.436634","0.069565",14,"390","0.157965","0.283879","0.558156",12
"1541",1541,"spe",2224.065,2224.065,2224.065,390,"0.157965","0.283879","0.558156",12,"390","0.157965","0.283879","0.558156",12
"1463",1463,"spe",2000.73,2000.73,2000.73,396,"0.709047","0.237138","0.053815",6,"396","0.709047","0.237138","0.053815",6
"1283",1283,"spe",1693.33,1693.33,1693.33,399,"0.417638","0.383166","0.199196",3,"399","0.417638","0.383166","0.199196",3
"965",965,"spe",1319.595,1319.595,1319.595,510,"0.133089","0.133089","0.733822",2,"510","0.133089","0.133089","0.733822",2
"1597",1657,"hgt",2723.605,2420.455,2572.03,702,"0.207392","0.366102","0.426505",41,"703","0.106658","0.129625","0.763717",18
"1597",1597,"spe",2420.455,2420.455,2420.455,703,"0.106658","0.129625","0.763717",18,"703","0.106658","0.129625","0.763717",18
"1375",1375,"spe",1801.635,1801.635,1801.635,719,"0.096383","0.096383","0.807234",2,"719","0.096383","0.096383","0.807234",2
