"right.node","left.node","event","left.date","right.date","midpoint.date","left.BT_node","left.host_associated","left.marine_deep","left.marine_shallow","left.terrestrial","left.ungrouped","left.leaves_count","right.BT_node","right.host_associated","right.marine_deep","right.marine_shallow","right.terrestrial","right.ungrouped","right.leaves_count"
"1177",1177,"spe",1555.685,1555.685,1555.685,330,"0.2","0.2","0.2","0.2","0.2",3,"330","0.2","0.2","0.2","0.2","0.2",3
"964",1219,"los",1612.41,1273.215,1442.8125,310,"0.2","0.2","0.2","0.2","0.2",7,"311","0.2","0.2","0.2","0.2","0.2",2
"964",1219,"hgt",1612.41,1273.215,1442.8125,310,"0.2","0.2","0.2","0.2","0.2",7,"311","0.2","0.2","0.2","0.2","0.2",2
"964",964,"spe",1273.215,1273.215,1273.215,311,"0.2","0.2","0.2","0.2","0.2",2,"311","0.2","0.2","0.2","0.2","0.2",2
"988",1197,"los",1581.265,1330.6,1455.9325,300,"0.2","0.2","0.2","0.2","0.2",3,"301","0.2","0.2","0.2","0.2","0.2",2
"1008",1008,"spe",1338.6,1338.6,1338.6,647,"0.2","0.2","0.2","0.2","0.2",5,"647","0.2","0.2","0.2","0.2","0.2",5
"893",893,"spe",1065.8455,1065.8455,1065.8455,650,"0.2","0.2","0.2","0.2","0.2",2,"650","0.2","0.2","0.2","0.2","0.2",2
"918",1008,"los",1338.6,1109.4215,1224.01075,647,"0.2","0.2","0.2","0.2","0.2",5,"648","0.2","0.2","0.2","0.2","0.2",3
"1042",1177,"los",1555.685,1386.92,1471.3025,330,"0.2","0.2","0.2","0.2","0.2",3,"331","0.2","0.2","0.2","0.2","0.2",2
"GCA.000002865.1.Eukaryota.Choanoflagellata",869,"dup",694.719,0,347.3595,89,"0.2","0.2","0.2","0.2","0.2",2,"GCA.000002865.1.Eukaryota.Choanoflagellata","0","0","0","0","1",0
"GCA.000002865.1.Eukaryota.Choanoflagellata",869,"dup",694.719,0,347.3595,89,"0.2","0.2","0.2","0.2","0.2",2,"GCA.000002865.1.Eukaryota.Choanoflagellata","0","0","0","0","1",0
