nodename	lower	upper	average
1604	2877.79	2289.55	2583.67
1649	3069.12	2584.66	2826.89
1479	2524.74	1868.53	2196.6349999999998
1407	2347.21	1706.65	2026.93
1522	2622.04	2035.74	2328.89
1382	2309.51	1673.84	1991.6750000000002
1474	2501.38	1856.55	2178.965
1554	2691.17	2157.8	2424.485
1620	2883.46	2402.49	2642.975
1651	3062.07	2619.27	2840.67
1679	3224.36	2838.23	3031.295
868	673.097	292.105	482.601
1244	2062.2	1437.62	1749.9099999999999
1502	2519.52	1980.36	2249.94
1624	2880.09	2452.82	2666.455
1490	2455.5	1997.56	2226.5299999999997
1442	2336.37	1858.17	2097.27
1574	2670.09	2312.21	2491.15
1497	2495.46	1962.57	2229.015
1113	1769.19	1326.17	1547.68
1218	1899.92	1512.88	1706.4
977	1493.85	1077.84	1285.8449999999998
1105	1730.95	1340.44	1535.6950000000002
1311	2034.77	1683.72	1859.245
972	1473.77	1087.51	1280.6399999999999
1099	1712.05	1328.26	1520.155
1240	1922.61	1565.77	1744.19
962	1446.91	1061.98	1254.4450000000002
1072	1670.12	1291.86	1480.9899999999998
1180	1840.09	1463.98	1652.0349999999999
1308	2013.01	1673.0	1843.005
1389	2168.39	1834.94	2001.665
1220	1896.74	1509.75	1703.245
1051	1634.55	1243.22	1438.885
1021	1591.35	1188.55	1389.9499999999998
948	1377.79	1010.69	1194.24
1004	1547.03	1178.9	1362.9650000000001
1098	1701.29	1344.28	1522.7849999999999
1162	1801.29	1445.07	1623.1799999999998
1254	1945.96	1577.98	1761.97
1352	2091.75	1745.34	1918.545
1450	2292.27	1941.5	2116.885
1546	2557.42	2249.37	2403.395
1585	2671.84	2365.52	2518.6800000000003
1626	2833.14	2535.65	2684.395
1633	2867.1	2572.14	2719.62
1042	1615.68	1199.55	1407.615
1163	1821.11	1413.29	1617.1999999999998
1302	2030.26	1639.61	1834.935
1158	1848.64	1370.08	1609.3600000000001
1346	2111.5	1692.01	1901.755
1483	2374.56	2039.98	2207.27
1290	2020.8	1616.69	1818.745
920	1309.64	842.981	1076.3105
1211	1909.26	1481.54	1695.4
1091	1721.42	1280.5	1500.96
1342	2081.81	1708.06	1894.935
1417	2216.58	1870.59	2043.585
1464	2314.43	1974.6	2144.515
880	988.339	584.632	786.4855
1175	1841.07	1427.4	1634.2350000000001
1117	1756.6	1335.17	1545.885
1264	1966.71	1580.03	1773.37
1381	2174.3	1793.3	1983.8000000000002
1451	2294.19	1937.25	2115.7200000000003
1526	2491.84	2190.13	2340.985
1562	2602.59	2320.06	2461.325
1595	2699.59	2415.23	2557.41
1448	2330.65	1897.69	2114.17
1293	2036.11	1606.34	1821.225
1195	1896.3	1449.8	1673.05
1498	2387.45	2106.45	2246.95
914	1171.4	945.828	1058.614
913	1097.88	1050.37	1074.125
929	1206.42	1070.56	1138.49
873	716.091	425.012	570.5515
883	940.789	690.336	815.5625
906	1134.18	927.859	1031.0195
951	1278.55	1127.88	1203.2150000000001
964	1336.5	1178.4	1257.45
1017	1476.14	1294.29	1385.2150000000001
1085	1606.54	1399.97	1503.255
1548	2537.94	2287.75	2412.8450000000003
1579	2637.51	2377.51	2507.51
1608	2729.77	2463.36	2596.565
1629	2833.76	2567.03	2700.3950000000004
1659	3033.18	2763.68	2898.43
1688	3251.39	2947.38	3099.385
1700	3350.16	3033.46	3191.81
1707	3445.1	3081.32	3263.21
1671	3395.25	2489.4	2942.325
1713	3602.57	3116.48	3359.525
1708	3519.48	2967.85	3243.665
1722	3738.87	3359.21	3549.04
1541	2650.07	2064.98	2357.525
1618	2891.24	2390.01	2640.625
1549	2665.73	2117.02	2391.375
1623	2884.72	2440.19	2662.455
1187	1907.08	1434.23	1670.655
