"right.node"	"left.node"	"event"	"left.date"	"right.date"	"midpoint.date"	"left.BT_node"	"left.origin"	"left.leaves_count"	"right.BT_node"	"right.origin"	"right.leaves_count"
"923"	923	"spe"	1219.565	1219.565	1219.565	87	"not_sure"	4	"87"	"not_sure"	4
"1020"	1091	"hgt"	1475.775	1389.275	1432.525	82	"not_sure"	9	"84"	"marine_shallow"	7
"1020"	1020	"spe"	1389.275	1389.275	1389.275	84	"marine_shallow"	7	"84"	"marine_shallow"	7
"869"	869	"spe"	694.719	694.719	694.719	89	"marine_shallow"	2	"89"	"marine_shallow"	2
"876"	876	"spe"	946.8465	946.8465	946.8465	88	"marine_shallow"	3	"88"	"marine_shallow"	3
"1196"	1196	"spe"	1610.66	1610.66	1610.66	524	"terrestrial"	3	"524"	"terrestrial"	3
"1340"	1508	"hgt"	2147.32	1807.925	1977.6225	520	"marine_deep"	7	"522"	"terrestrial"	5
"1340"	1340	"spe"	1807.925	1807.925	1807.925	522	"terrestrial"	5	"522"	"terrestrial"	5
"1083"	1196	"los"	1610.66	1475.96	1543.31	524	"terrestrial"	3	"525"	"not_sure"	2
"1083"	1196	"hgt"	1610.66	1475.96	1543.31	524	"terrestrial"	3	"525"	"not_sure"	2
"1611"	1611	"spe"	2454.92	2454.92	2454.92	475	"not_sure"	31	"475"	"not_sure"	31
"1585"	1585	"spe"	2366.93	2366.93	2366.93	478	"marine_shallow"	28	"478"	"marine_shallow"	28
"1466"	1466	"spe"	1991.73	1991.73	1991.73	500	"not_sure"	6	"500"	"not_sure"	6
"1352"	1352	"spe"	1793.76	1793.76	1793.76	503	"marine_deep.terrestrial"	3	"503"	"marine_deep.terrestrial"	3
"1562"	1562	"spe"	2294.155	2294.155	2294.155	479	"terrestrial"	22	"479"	"terrestrial"	22
"1514"	1514	"spe"	2135.355	2135.355	2135.355	484	"not_sure"	17	"484"	"not_sure"	17
"1414"	1514	"los"	2135.355	1900.265	2017.81	484	"not_sure"	17	"493"	"not_sure"	8
"1240"	1385	"hgt"	1853.335	1643.115	1748.225	63	"not_sure"	5	"64"	"not_sure"	3
"1240"	1240	"spe"	1643.115	1643.115	1643.115	64	"not_sure"	3	"64"	"not_sure"	3
"903"	903	"spe"	1108.5585	1108.5585	1108.5585	65	"marine_shallow"	2	"65"	"marine_shallow"	2
"1403"	1403	"spe"	1879.385	1879.385	1879.385	485	"not_sure"	9	"485"	"not_sure"	9
"1206"	1206	"spe"	1606.29	1606.29	1606.29	486	"not_sure"	8	"486"	"not_sure"	8
"1060"	1060	"spe"	1429.675	1429.675	1429.675	487	"marine_deep.terrestrial"	7	"487"	"marine_deep.terrestrial"	7
"977"	977	"spe"	1306.425	1306.425	1306.425	489	"not_sure"	5	"489"	"not_sure"	5
"919"	977	"los"	1306.425	1185.7715	1246.09825	489	"not_sure"	5	"490"	"not_sure"	4
"872"	872	"spe"	860.4425	860.4425	860.4425	492	"not_sure"	2	"492"	"not_sure"	2
"872"	883	"hgt"	1034.2525	860.4425	947.3475	491	"not_sure"	3	"492"	"not_sure"	2
"949"	949	"spe"	1277.41	1277.41	1277.41	488	"not_sure"	2	"488"	"not_sure"	2
"1030"	1245	"hgt"	1665.14	1417.72	1541.43	340	"marine_deep"	3	"341"	"not_sure"	2
"1030"	1030	"spe"	1417.72	1417.72	1417.72	341	"not_sure"	2	"341"	"not_sure"	2
"1381"	1381	"spe"	1841.045	1841.045	1841.045	480	"terrestrial"	5	"480"	"terrestrial"	5
"1111"	1111	"spe"	1478.665	1478.665	1478.665	483	"not_sure"	2	"483"	"not_sure"	2
"1276"	1276	"spe"	1691.135	1691.135	1691.135	501	"not_sure"	3	"501"	"not_sure"	3
"943"	943	"spe"	1269.475	1269.475	1269.475	85	"marine_shallow"	3	"85"	"marine_shallow"	3
