COG2006
COG3909
COG2199
COG1509
COG0621
COG2863
COG0325
COG1781
COG0353
COG5385
COG4219
COG1269
COG4412
COG0666
COG1240
COG2378
COG1792
COG0703
COG5602
COG1195
COG5319
COG0312
COG0825
COG0279
COG0128
COG1200
COG3267
COG2912
COG1030
COG4585
COG1752
COG5276
COG1586
COG0309
COG1545
COG2810
COG1310
COG0118
COG1018
COG1155
COG0627
COG2220
COG3321
COG2188
COG1686
COG4972
COG2980
COG1185
COG3273
COG1404
COG0705
COG3346
COG1251
COG1154
COG2801
COG1319
COG3228
COG0772
COG0183
COG0620
COG0424
COG0638
COG1974
COG1250
COG1816
COG4679
COG3427
COG3547
COG0191
COG3659
COG3316
COG3239
COG1247
COG2019
COG0278
COG5460
COG0730
COG0707
COG3822
COG0708
COG0654
COG0767
COG3472
COG0302
COG0768
COG3824
COG1418
COG0669
COG1296
COG3131
COG0133
COG3415
COG4133
COG2185
COG0253
COG0141
COG1484
COG4946
COG3620
COG1231
COG3293
COG1432
COG5305
COG2755
COG1479
COG0740
COG3403
COG3031
COG1426
COG2956
COG0176
COG0243
COG2976
COG3576
COG0265
COG1703
COG0706
COG1985
COG3369
COG1277
COG1394
COG0433
COG3787
COG0847
COG5652
COG3875
COG0043
COG3614
COG2814
COG0169
COG0042
COG0549
COG5373
COG3661
COG0357
COG1180
COG1852
COG0771
COG3564
COG3850
COG1694
COG1975
COG3894
COG0166
COG1148
COG0755
COG1936
COG1514
COG0142
COG1328
COG3876
COG0643
COG0437
COG1837
COG0266
COG0682
COG3292
COG5483
COG3672
COG3651
COG3385
COG0766
COG3577
COG1271
COG3476
COG3380
COG1585
COG0444
COG3326
COG1287
COG5429
COG0313
COG1670
COG0337
COG0123
COG3372
COG1331
COG2849
COG0728
COG4240
COG0486
COG3531
COG3137
COG0646
COG3964
COG2911
COG0513
COG3603
COG0389
COG2080
COG0414
COG4875
COG0483
COG3789
COG1035
COG3467
COG0460
COG0749
COG0092
COG0233
COG0481
COG1156
COG3391
COG0005
COG0225
COG2131
COG2150
COG0014
COG1246
COG2608
COG3187
COG0419
COG3608
COG0344
COG0816
COG0006
COG0763
COG2265
COG0097
COG0036
COG5482
COG2227
COG3921
COG3907
COG0134
COG3126
COG3568
COG1134
COG0147
COG0653
COG0611
COG3637
COG0113
COG0799
COG0110
COG0135
COG5427
COG2120
COG0710
COG0030
COG0041
COG0194
COG0342
COG0726
COG0721
COG2921
COG0261
COG2914
COG0512
COG1666
COG0561
COG4929
COG2738
COG1382
COG5488
COG0057
COG0745
COG1828
COG0828
COG0345
COG0160
COG2225
COG1465
COG1403
COG3635
COG5507
COG1135
COG2194
COG5306
COG1414
COG0445
COG0761
COG0801
COG1013
COG3797
COG0017
COG0515
COG1773
COG1182
COG1977
COG1109
COG3117
COG0322
COG0420
COG2975
COG1716
COG0794
COG1530
COG1390
COG0694
COG1943
COG3571
COG1327
COG4948
COG0394
COG0413
COG1917
COG1522
COG1063
COG1207
COG3550
COG1787
COG0711
COG0815
COG0674
COG0196
COG0412
COG4677
COG4257
COG4878
COG2982
COG4225
COG3934
COG2333
COG2388
COG3877
COG0227
COG3318
COG3047
COG5009
COG0289
COG0307
COG1027
COG4993
COG3401
COG3077
COG1047
COG3328
COG0773
COG0440
COG0603
COG0114
COG1060
COG0759
COG1045
COG3899
COG3063
COG1044
COG1274
COG3829
COG5352
COG3451
COG0531
COG0452
COG0824
COG2843
COG0341
COG1043
COG0616
COG0770
COG0681
COG0557
COG3666
COG4221
COG1574
COG1893
COG0348
COG3981
COG0159
COG0790
COG5642
COG4251
COG3045
COG1683
COG3072
COG0791
COG1131
COG1064
COG1381
COG5012
COG5587
COG2429
COG0264
COG1014
COG0328
COG1602
COG0229
COG3653
COG1698
COG0742
COG4627
COG0691
COG1139
COG0103
COG0271
COG2159
COG1702
COG4775
COG3344
COG0492
COG1385
COG3734
COG1775
COG5285
COG2963
COG0539
COG0690
COG1272
COG5523
COG5360
COG5461
COG4992
COG1529
COG1968
COG0106
COG0407
COG1186
COG5000
COG3177
COG2414
COG3583
COG1556
COG3696
COG1527
COG1145
COG2271
COG1198
COG2141
