"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node88.P.C.",0.020858131,0.0137895,0.007338,0.03139,1000,1,"passed",0.775962702288571,"passed",0.780584967082547,"failed",0.0022507327984744
"Node89.P.A.",0.924729719,0.975766,0.831022,0.991795,822.159183555624,1,"passed",0.609966205498099,"passed",0.622875543180598,"passed",0.0138317868807382
"Node89.P.B.",0.071023623,0.022313,0.007354,0.167156,816.638332146514,1,"passed",0.576079014539414,"passed",0.592075122588625,"failed",0.013136415708529
"Node89.P.C.",0.004246674,0.0017995,0.000791,0.003639,1000,1,"passed",0.631256597958681,"passed",0.641706293334972,"failed",0.000940371504345301
"Node90.P.A.",0.654065317,0.6878295,0.513674,0.775336,738.656260888409,1,"passed",0.320785961363087,"passed",0.348915388470169,"passed",0.0109376343680017
"Node90.P.B.",0.317750986,0.2869535,0.198509,0.46165,733.509891118348,1,"passed",0.306337046003843,"passed",0.334839279248538,"passed",0.0105040459448238
"Node90.P.C.",0.028183677,0.026441,0.016005,0.036347,999.999999999999,1,"passed",0.622190044209761,"passed",0.633681680910205,"passed",0.000549074563259636
"Node91.P.A.",0.774729246,0.8157785,0.676301,0.866959,784.384294229356,1,"passed",0.464285913503108,"passed",0.48680657286977,"passed",0.0120236180848243
"Node91.P.B.",0.202658664,0.164075,0.114313,0.307131,777.244742814647,1,"passed",0.438480244488593,"passed",0.462802195550069,"passed",0.0113025244383035
"Node91.P.C.",0.022612086,0.019965,0.011138,0.029015,1000,1,"passed",0.650206401950927,"passed",0.658492390581486,"passed",0.000800661909331566
"Node92.P.A.",0.031641721,0.029409,0,0.066612,1000,1,"passed",0.0611097253976998,"passed",0.160550480044659,"passed",0.0011709134051119
"Node92.P.B.",0.462687645,0.4643,0.449082,0.476735,876.840778816333,1,"passed",0.418238372046242,"passed",0.444039324663633,"passed",0.000571651486613527
"Node92.P.C.",0.505670626,0.5041245,0.474686,0.539497,855.035776875618,1,"passed",0.0587092378851825,"passed",0.160550480044659,"passed",0.00117718908593438
"Node93.P.A.",0.042844978,0.041873,0,0.081396,1000,1,"passed",0.0788331893240539,"passed",0.160550480044659,"passed",0.00136299276570908
"Node93.P.B.",0.45683734,0.45853,0.438245,0.472102,858.620058257433,1,"passed",0.283845084680882,"passed",0.312657732901648,"passed",0.000661818179583184
"Node93.P.C.",0.500317677,0.4969125,0.465047,0.546451,855.869717165863,1,"passed",0.0714292204971683,"passed",0.160550480044659,"passed",0.00149630633143376
"Node94.P.A.",0.121670793,0.126162,0.032623,0.221071,999.999999999999,1,"passed",0.129101904354517,"passed",0.179718364536788,"passed",0.00284515188103634
"Node94.P.B.",0.428222796,0.427302,0.392624,0.469347,1000,1,"passed",0.187875860863825,"passed",0.233529871569915,"passed",0.00116287918210823
"Node94.P.C.",0.450106397,0.4467325,0.395812,0.511112,1000,1,"passed",0.102587067361857,"passed",0.162209377008415,"passed",0.00169775216129604
"Node95.P.A.",0.063328255,0.0628905,0,0.112415,1000,1,"passed",0.0704774683845433,"passed",0.160550480044659,"passed",0.00184873488335378
"Node95.P.B.",0.454206318,0.453687,0.429564,0.4803,892.859216870444,1,"passed",0.117366430117198,"passed",0.170588539094496,"passed",0.000972333202321509
"Node95.P.C.",0.482465416,0.483303,0.443878,0.505301,1000,1,"passed",0.156132164426755,"passed",0.203506564535017,"passed",0.00108621474886984
