GCA.002239025.1.Bacteria.Chloroflexota
GCA.001795235.1.Bacteria.Chloroflexota
GCF.001953175.1.Bacteria.Chloroflexota
GCA.003229915.1.Bacteria.Chloroflexota
GCA.002011475.1.Bacteria.Chloroflexota
GCA.003484395.1.Bacteria.Chloroflexota
GCA.002347295.1.Bacteria.Chloroflexota
GCA.002367275.1.Bacteria.Chloroflexota
GCA.002352365.1.Bacteria.Chloroflexota
GCA.002708145.1.Bacteria.Chloroflexota
GCA.002450835.1.Bacteria.Chloroflexota
GCA.002717805.1.Bacteria.Chloroflexota
GCA.002450515.1.Bacteria.Chloroflexota
GCA.003228115.1.Bacteria.Chloroflexota
GCA.002721445.1.Bacteria.Chloroflexota
GCA.002717565.1.Bacteria.Chloroflexota
GCA.002717925.1.Bacteria.Chloroflexota
GCA.002710215.1.Bacteria.Chloroflexota
GCF.003967555.1.Bacteria.Chloroflexota
GCA.002404055.1.Bacteria.Chloroflexota
GCA.002436065.1.Bacteria.Chloroflexota
GCA.002413265.1.Bacteria.Chloroflexota
GCA.002347925.1.Bacteria.Chloroflexota
GCA.003243965.1.Bacteria.Chloroflexota
GCA.001443375.1.Bacteria.Chloroflexota
GCF.000025005.1.Bacteria.Chloroflexota
GCA.001898225.1.Bacteria.Chloroflexota
GCA.002440805.1.Bacteria.Chloroflexota
GCA.002292925.1.Bacteria.Chloroflexota
GCA.002423325.1.Bacteria.Chloroflexota
GCA.002348045.1.Bacteria.Chloroflexota
GCA.002400365.1.Bacteria.Chloroflexota
GCA.002366595.1.Bacteria.Chloroflexota
GCA.003130875.1.Bacteria.Chloroflexota
GCA.003451595.1.Bacteria.Chloroflexota
GCA.002366755.1.Bacteria.Chloroflexota
GCF.001306175.1.Bacteria.Chloroflexota
GCF.900187885.1.Bacteria.Chloroflexota
GCA.002841995.1.Bacteria.Chloroflexota
GCF.900066015.1.Bacteria.Chloroflexota
GCA.002702065.1.Bacteria.Chloroflexota
