"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node29.P.C.",0.079104693,0.062285,0,0.303952,757.526091388853,1,"passed",0.264630989152431,"passed",0.30693259708386,"passed",0.00698270183466795
"Node30.P.A.",0.05525868,0.048676,0.011901,0.112513,856.380216583257,1,"passed",0.521490231894262,"passed",0.561051559831068,"passed",0.00205348163128068
"Node30.P.B.",0.363549909,0.4276305,0.174736,0.485919,273.690122740905,1,"passed",0.0625322792204315,"passed",0.154169532252242,"passed",0.0126055964737577
"Node30.P.C.",0.581191411,0.52077,0.460228,0.794956,283.435226793363,1,"passed",0.0731029221367276,"passed",0.154169532252242,"passed",0.0127344593361472
"Node31.P.A.",0.047106008,0.041175,0.009503,0.098081,859.67635180594,1,"passed",0.41673589740378,"passed",0.459440282650104,"passed",0.00187219544615565
"Node31.P.B.",0.361464104,0.426537,0.162817,0.487341,274.954088857581,1,"passed",0.0614518174605252,"passed",0.154169532252242,"passed",0.0130789905066466
"Node31.P.C.",0.591429881,0.528929,0.465246,0.80797,278.553959059127,1,"passed",0.0705392662802753,"passed",0.154169532252242,"passed",0.0132717502334362
"Node32.P.A.",0.836067374285714,0.956668,0.362976,1,367.024908098229,301,"passed",0.0888347172126165,"passed",0.154169532252242,"passed",0.0235175191845565
"Node32.P.B.",0.125633482857143,0.036721,0,0.337172,285.064881333469,301,"passed",0.0790373176419495,"passed",0.154169532252242,"failed",0.018784939936409
"Node32.P.C.",0.0413055133333333,0.0007965,0,0.303949,634.470727692529,101,"passed",0.0930414380148824,"passed",0.154169532252242,"failed",0.00790848587428905
"Node33.P.A.",0.802264697777778,0.880219,0.349933,1,329.849863766965,101,"passed",0.0518293372314347,"passed",0.154169532252242,"passed",0.0199703141480297
"Node33.P.B.",0.146515736666667,0.0884795,0,0.333995,306.451814502606,101,"passed",0.0588678202204194,"passed",0.154169532252242,"failed",0.0154302282614001
"Node33.P.C.",0.052617377,0.0075385,0,0.316654,657.242896704244,1,"passed",0.0779642636888183,"passed",0.154169532252242,"failed",0.00778451516410345
"Node34.P.A.",0.707574777777778,0.7850535,0.344911,1,270.551521388392,101,"passed",0.0684595897499164,"passed",0.154169532252242,"passed",0.0226712879562676
"Node34.P.B.",0.229354286666667,0.178143,0,0.475514,283.915145682724,401,"passed",0.178383420607024,"passed",0.228096832907342,"failed",0.0236716928570366
"Node34.P.C.",0.055584218,0.018286,0,0.315195,670.222767876368,1,"passed",0.113156482007203,"passed",0.163013885971534,"failed",0.00756291965541716
"Node35.P.A.",0.853123254285714,0.9614105,0.446043,1,352.570729562649,301,"passed",0.0536255127904193,"passed",0.154169532252242,"passed",0.0209634300188429
"Node35.P.B.",0.119631648571429,0.0329265,0,0.332957,282.891894220937,301,"passed",0.0595373838662822,"passed",0.154169532252242,"failed",0.0181210994338969
"Node35.P.C.",0.0294019066666667,0.000927,0,0.226722,667.207186113128,101,"passed",0.0594763489881875,"passed",0.154169532252242,"failed",0.00566560740988824
"Node36.P.A.",0.749145621111111,0.816086,0.412358,1,273.509980700689,101,"passed",0.052739597242791,"passed",0.154169532252242,"passed",0.0198666933582288
"Node36.P.B.",0.195096226666667,0.1428825,0,0.385287,273.105947326333,401,"passed",0.155438673852605,"passed",0.205495195940731,"failed",0.0203870213628096
"Node36.P.C.",0.048497733,0.0212175,0,0.253871,702.002976778476,1,"passed",0.0969930381133743,"passed",0.154169532252242,"failed",0.00594449399546199
"Node37.P.A.",0.87030879,0.9678425,0.525098,1,330.760725167153,401,"passed",0.100143337060958,"passed",0.154169532252242,"passed",0.0203191094899777
"Node37.P.B.",0.110862098333333,0.028389,0,0.329547,278.850546739742,401,"passed",0.146876397199703,"passed",0.195001855005563,"failed",0.0184572308974891
"Node37.P.C.",0.0207259755555556,0.000722,0,0.159236,691.712809484127,101,"passed",0.0517139544971129,"passed",0.154169532252242,"failed",0.00414757604217366
"Node38.P.A.",0.88350239,0.9769935,0.571872,1,319.166552844012,401,"passed",0.0742900770291212,"passed",0.154169532252242,"passed",0.0191274160122527
"Node38.P.B.",0.102917428333333,0.0211365,0,0.325023,279.432419431118,401,"passed",0.111484636661583,"passed",0.162538348777635,"failed",0.0178345818042485
"Node38.P.C.",0.0139540842857143,0.000272,0,0.116432,730.942085451992,301,"passed",0.0760966480914622,"passed",0.154169532252242,"failed",0.00379955666756626
"Node39.P.A.",0.898427508333333,0.9902135,0.581842,1,333.869761237337,401,"passed",0.0629598382354265,"passed",0.154169532252242,"passed",0.0177092893059364
"Node39.P.B.",0.0894816816666667,0.0096305,0,0.31901,273.678795398586,401,"passed",0.0894206228907757,"passed",0.154169532252242,"failed",0.0163236638201292
"Node39.P.C.",0.0124324542857143,2.05e-05,0,0.106131,725.478864422684,301,"passed",0.07431188037833,"passed",0.154169532252242,"failed",0.00345218164013187
"Node40.P.A.",0.844628342857143,0.9617155,0.431339,1,351.727150525359,301,"passed",0.0849839578652403,"passed",0.154169532252242,"passed",0.0224663086948246
"Node40.P.B.",0.131614442222222,0.032824,0,0.37392,297.259856867014,101,"passed",0.0510898182394028,"passed",0.154169532252242,"failed",0.0172877848810844
"Node40.P.C.",0.0303948188888889,0.0006465,0,0.228254,646.34303282689,101,"passed",0.0805162240479362,"passed",0.154169532252242,"failed",0.00587582330198044
"Node41.P.A.",0.734390994444444,0.8006175,0.280969,1,304.359896501349,101,"passed",0.0975389129075498,"passed",0.154169532252242,"passed",0.0232780720039728
"Node41.P.B.",0.208495906,0.154802,0,0.465089,308.843826069138,1,"passed",0.0851845053624104,"passed",0.154169532252242,"passed",0.0184329308625848
"Node41.P.C.",0.061199349,0.015945,0,0.333726,660.763965774325,1,"passed",0.0940653869319553,"passed",0.154169532252242,"failed",0.00843241298584138
"Node42.P.A.",0.433818009,0.382918,0.147604,1,599.982858816571,1,"passed",0.0984973878144957,"passed",0.154169532252242,"passed",0.0192650780485439
"Node42.P.B.",0.386710347,0.359499,0,0.709631,512.760240165142,1,"passed",0.183853316827073,"passed",0.231436808149461,"passed",0.0174553457493941
"Node42.P.C.",0.179471627,0.222572,0,0.526317,905.759914804215,1,"passed",0.588975174515482,"passed",0.620811670435238,"passed",0.0114207915845952
"Node43.P.A.",0.387667917777778,0.334399,0.112208,1,397.677017845511,101,"passed",0.052556596633078,"passed",0.154169532252242,"passed",0.0265219484728996
"Node43.P.B.",0.506958707,0.4891575,0,0.846752,452.788970337273,1,"passed",0.109384291345712,"passed",0.160224877464142,"passed",0.0229746648176631
"Node43.P.C.",0.110807993,0.102851,0,0.400478,782.343420292638,1,"passed",0.296003072184687,"passed",0.340785824803034,"passed",0.00899553725193956
"Node44.P.A.",0.016443678,0.012791,0.001811,0.039668,906.636514862002,1,"passed",0.545038864871956,"passed",0.578408591292688,"passed",0.00104171545088447
"Node44.P.B.",0.340464435,0.412327,0.092847,0.495131,261.811441039066,1,"passed",0.0625442600135925,"passed",0.154169532252242,"passed",0.0162629841661933
"Node44.P.C.",0.643091895,0.5737515,0.489136,0.90059,269.31360630238,1,"passed",0.0655145239076336,"passed",0.154169532252242,"passed",0.0162357878585921
"Node45.P.A.",0.018380047,0.015023,0.002716,0.043647,880.068481392755,1,"passed",0.376959515171381,"passed",0.429238572019967,"passed",0.00100038397541346
"Node45.P.B.",0.338363403,0.395928,0.105701,0.491672,261.366319462342,1,"passed",0.0560609255638904,"passed",0.154169532252242,"passed",0.0151690864314688
"Node45.P.C.",0.643256539,0.5879105,0.488989,0.882972,270.820961876136,1,"passed",0.0600646238106635,"passed",0.154169532252242,"passed",0.015006142995953
"Node46.P.A.",0.843135441666667,0.895872,0.551604,1,276.522126824519,401,"passed",0.104314551750368,"passed",0.156471827625552,"passed",0.0172684611383294
"Node46.P.B.",0.143415118571429,0.093267,0,0.333227,283.346292095511,301,"passed",0.0502591752555381,"passed",0.154169532252242,"failed",0.0152637498620611
"Node46.P.C.",0.0181231,0.00437,0,0.115755,707.809857727204,101,"passed",0.0905640773371676,"passed",0.154169532252242,"failed",0.00302343127225156
"Node47.P.A.",0.896197211666667,0.980299,0.627899,1,305.905329720696,401,"passed",0.0712713180560776,"passed",0.154169532252242,"passed",0.0178704634936542
"Node47.P.B.",0.0971213116666667,0.018652,0,0.301533,270.894885717014,401,"passed",0.0941562340683388,"passed",0.154169532252242,"failed",0.0173771413360084
"Node47.P.C.",0.007453991,0.0002085,0,0.052903,763.484567361991,1,"passed",0.0549193577050744,"passed",0.154169532252242,"failed",0.00154835185118677
"Node48.P.A.",NA,0.9909205,0.70164,1,262.715261723874,NA,"failed",0.0427607800996611,"passed",0.154169532252242,NA,NA
"Node48.P.B.",0.0799317333333333,0.009048,0,0.267926,248.913119275114,401,"passed",0.0515240075399193,"passed",0.154169532252242,"failed",0.0156201749775716
"Node48.P.C.",0.002781817,1.8e-05,0,0.018876,375.260436266649,1,"passed",0.124840960348347,"passed",0.172346812516302,"failed",0.000996802415027229
"Node49.P.A.",0.886386108333333,0.974088,0.619956,1,308.780642383398,401,"passed",0.0978726156780371,"passed",0.154169532252242,"passed",0.0189563155056277
"Node49.P.B.",0.108037778333333,0.0250115,0,0.323231,285.188799275643,401,"passed",0.11612925333527,"passed",0.165444415710522,"failed",0.0184210135753148
"Node49.P.C.",0.00621442,0.0001865,0,0.044653,729.255044229085,1,"passed",0.0549620667149037,"passed",0.154169532252242,"failed",0.00122844069857986
"Node50.P.A.",NA,0.995886,0.769335,1,250.46281809225,NA,"failed",0.0157152243069651,"passed",0.154169532252242,NA,NA
"Node50.P.B.",NA,0.004102,0,0.222566,244.12871385992,NA,"failed",0.0175124139218095,"passed",0.154169532252242,NA,NA
"Node50.P.C.",0.000749591,3e-06,0,0.004295,348.747102114152,1,"passed",0.307368974166361,"passed",0.352570293896708,"failed",0.000379561796976103
"Node51.P.A.",NA,0.9935955,0.736092,1,258.319887048139,NA,"failed",0.0258196292503582,"passed",0.154169532252242,NA,NA
"Node51.P.B.",NA,0.00639,0,0.244611,248.823903810798,NA,"failed",0.0298262215294982,"passed",0.154169532252242,NA,NA
"Node51.P.C.",0.001441926,7e-06,0,0.009028,365.820148312146,1,"passed",0.186278496024573,"passed",0.233409199838019,"failed",0.000612269640462925
"Node52.P.A.",0.910586993333333,0.985581,0.674698,1,273.465626284856,401,"passed",0.0512168222681068,"passed",0.154169532252242,"passed",0.0161487212045055
"Node52.P.B.",0.0858279133333333,0.014077,0,0.284103,278.630083969874,401,"passed",0.0624905629347321,"passed",0.154169532252242,"failed",0.015895667170158
"Node52.P.C.",0.003942757,8.3e-05,0,0.027682,795.693949556094,1,"passed",0.0845220164480817,"passed",0.154169532252242,"failed",0.000867296718992549
"Node53.P.A.",0.618028722222222,0.6315075,0.325052,1,296.901756789391,101,"passed",0.0921638855648037,"passed",0.154169532252242,"passed",0.0238417549689184
"Node53.P.B.",0.311141825,0.281161,0,0.568003,325.863546508786,1,"passed",0.0717415213412884,"passed",0.154169532252242,"passed",0.0196525138834125
"Node53.P.C.",0.074946034,0.0576875,0,0.294802,749.324712743679,1,"passed",0.241537364656561,"passed",0.284376067067347,"passed",0.00678018059099219
"Node54.P.A.",0.844243071428571,0.9345655,0.464079,1,351.756536929601,301,"passed",0.0693820981716949,"passed",0.154169532252242,"passed",0.0203509995183284
"Node54.P.B.",0.1263706,0.050779,0,0.331597,286.057506732877,301,"passed",0.0661173140278409,"passed",0.154169532252242,"failed",0.0177598959360139
"Node54.P.C.",0.0313394577777778,0.00347,0,0.210692,665.799084245621,101,"passed",0.101578413583695,"passed",0.154597390429819,"failed",0.00534454529407737
"Node55.P.A.",0.615611282222222,0.676468,0.316072,1,326.270698000768,101,"passed",0.0530095632482007,"passed",0.154169532252242,"passed",0.025388818664736
"Node55.P.B.",0.360312423333333,0.3051355,0,0.652065,319.041695190956,101,"passed",0.0584391283041336,"passed",0.154169532252242,"passed",0.024346544490091
"Node55.P.C.",0.024623433,0.012505,0,0.129142,700.265778366159,1,"passed",0.117969963433854,"passed",0.166545830730146,"failed",0.00304448942284874
"Node56.P.A.",NA,0.9952815,0.789826,1,276.176722699537,NA,"failed",0.0178304198443593,"passed",0.154169532252242,NA,NA
"Node56.P.B.",NA,0.0046995,0,0.207916,272.409151012841,NA,"failed",0.0186964995906286,"passed",0.154169532252242,NA,NA
"Node56.P.C.",0.000391021,4e-06,0,0.002499,364.223045714447,1,"passed",0.225715365661156,"passed",0.269820666997244,"failed",0.000165093851737533
"Node57.P.A.",0.668785141111111,0.7124265,0.346469,1,281.592153492606,101,"passed",0.074604222058411,"passed",0.154169532252242,"passed",0.0241872145466835
"Node57.P.B.",0.262614055,0.2104945,0,0.523983,303.968561287337,1,"passed",0.0617753618708223,"passed",0.154169532252242,"passed",0.0190966424914371
"Node57.P.C.",0.072708667,0.0461375,0,0.311858,714.584101660112,1,"passed",0.225584264420493,"passed",0.269820666997244,"failed",0.00748213555050184
"Node58.P.A.",0.855779117142857,0.9594815,0.455534,1,355.117161643345,301,"passed",0.0504605399722974,"passed",0.154169532252242,"passed",0.0203887869393095
"Node58.P.B.",0.118088711428571,0.035807,0,0.33278,286.953423435099,301,"passed",0.0555537288810748,"passed",0.154169532252242,"failed",0.0176100438224657
"Node58.P.C.",0.0281670466666667,0.000991,0,0.214126,662.341181742009,101,"passed",0.0586502800942232,"passed",0.154169532252242,"failed",0.00543641800282363
"Node59.P.A.",0.867801956666667,0.9635795,0.481658,1,359.118965013733,401,"passed",0.101267616946661,"passed",0.154597390429819,"passed",0.0205270967116003
"Node59.P.B.",0.113855891428571,0.034363,0,0.337627,301.91349549018,301,"passed",0.0513785478981492,"passed",0.154169532252242,"failed",0.0169915184407598
