"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node923.P.A.",7.6108e-05,4.5e-05,1.2e-05,0.000197,157.765467885807,1,"passed",0.185848871955807,"passed",0.453961691487008,"failed",9.4308193145109e-06
"Node923.P.B.",0.022204082,0.0218655,0.014526,0.030876,825.894893625693,1,"passed",0.750554583987468,"passed",0.912981687754976,"passed",0.000289249490571435
"Node923.P.C.",0.977719805,0.978051,0.969089,0.985409,836.346752909367,1,"passed",0.781954368486792,"passed",0.912981687754976,"passed",0.000287586280454201
"Node924.P.A.",5.3427e-05,2.9e-05,7e-06,0.000149,134.630356211365,1,"passed",0.186188648292731,"passed",0.453961691487008,"failed",7.93113970093516e-06
"Node924.P.B.",0.020401632,0.0200095,0.011985,0.029168,817.821769906897,1,"passed",0.753917939993731,"passed",0.912981687754976,"passed",0.000307485796217671
"Node924.P.C.",0.979544944,0.979921,0.970806,0.987976,825.448062167268,1,"passed",0.77583806920748,"passed",0.912981687754976,"passed",0.000306212578153168
"Node925.P.A.",0.000150099,8.9e-05,2.5e-05,0.000383,153.490820917694,1,"passed",0.185133106750295,"passed",0.453961691487008,"failed",1.85565598942413e-05
"Node925.P.B.",0.030331269,0.0299725,0.020365,0.041289,823.633448018829,1,"passed",0.725804479469649,"passed",0.912981687754976,"passed",0.000369542988241171
"Node925.P.C.",0.969518671,0.9698965,0.958645,0.979504,839.666175940613,1,"passed",0.775244110558253,"passed",0.912981687754976,"passed",0.000366171373242175
"Node926.P.A.",7.6104e-05,4.2e-05,1e-05,0.000204,158.56362039978,1,"passed",0.188241457077977,"passed",0.453961691487008,"failed",9.94713890166759e-06
"Node926.P.B.",0.023500666,0.023174,0.015093,0.032927,821.778820460783,1,"passed",0.731874955061995,"passed",0.912981687754976,"passed",0.000316243799567849
"Node926.P.C.",0.976423241,0.976762,0.967042,0.984843,831.962129112325,1,"passed",0.762590247071121,"passed",0.912981687754976,"passed",0.000314406610158466
"Node927.P.A.",0.000398624,0.0002315,8e-05,0.00099,144.663361334156,1,"passed",0.185477734234441,"passed",0.453961691487008,"failed",4.93355817887251e-05
"Node927.P.B.",0.047558715,0.047246,0.034789,0.062712,821.315267076278,1,"passed",0.676968065310373,"passed",0.912981687754976,"passed",0.000490920779490757
"Node927.P.C.",0.952042654,0.952377,0.938034,0.965854,852.773063895223,1,"passed",0.778888118853757,"passed",0.912981687754976,"passed",0.000481437764075088
"Node928.P.A.",0.002527325,0.0015145,0.00056,0.006002,140.467165555471,1,"passed",0.179969782329583,"passed",0.453961691487008,"failed",0.000300731589577888
"Node928.P.B.",0.104657028,0.104056,0.078817,0.131614,790.786625618158,1,"passed",0.58409008599302,"passed",0.912981687754976,"passed",0.000944726502249623
"Node928.P.C.",0.892815616,0.8930725,0.867386,0.920399,889.452055469142,1,"passed",0.893495544404802,"passed",0.937208114724915,"passed",0.000887319685402243
"Node929.P.A.",0.006513198,0.004055,0.001553,0.014966,140.022108432455,1,"passed",0.175113155997731,"passed",0.453961691487008,"failed",0.00074479195632729
"Node929.P.B.",0.150918231,0.1500235,0.116291,0.186924,768.457713668385,1,"passed",0.531976481568948,"passed",0.892322285722809,"passed",0.00128027529490347
"Node929.P.C.",0.842568569,0.8429895,0.809881,0.881214,1000,1,"passed",0.974566222663267,"passed",0.977211755620387,"passed",0.00112324816423031
"Node930.P.A.",0.001176038,0.000694,0.000257,0.002865,142.472952977005,1,"passed",0.182776265380228,"passed",0.453961691487008,"failed",0.000142737700723932
"Node930.P.B.",0.076254972,0.075754,0.056037,0.097419,805.280563807866,1,"passed",0.627624163257991,"passed",0.912981687754976,"passed",0.000736468202513373
"Node930.P.C.",0.922568987,0.922894,0.901719,0.942982,866.230960697849,1,"passed",0.8239194610443,"passed",0.912981687754976,"passed",0.000708492328889759
"Node931.P.A.",0.392182326,0.3404015,0.256844,0.552499,145.566851633848,1,"passed",0.101932975088303,"passed",0.453961691487008,"passed",0.0169351673642222
"Node931.P.B.",0.587361207,0.633358,0.431215,0.716292,146.216887380915,1,"passed",0.128252405639708,"passed",0.453961691487008,"passed",0.0161996813616254
"Node931.P.C.",0.020456468,0.0196475,0.008364,0.033955,315.619441149095,1,"passed",0.313544986934903,"passed",0.621663687414197,"passed",0.000763039737520159
"Node932.P.A.",0.455724059,0.4213335,0.395058,0.549089,101.821545302672,1,"passed",0.0707199603958041,"passed",0.453961691487008,"passed",0.0105059530124351
"Node932.P.B.",0.489695179,0.5222535,0.406233,0.542513,119.688429035822,1,"passed",0.0621083132320307,"passed",0.453961691487008,"passed",0.00876943442492841
