GCA.002452295.1.Bacteria.Firmicutes.G
GCA.900016865.1.Bacteria.Firmicutes.G
GCA.001513145.1.Bacteria.Firmicutes.G
GCA.002426645.1.Bacteria.Firmicutes.G
GCA.002409975.1.Bacteria.Firmicutes.G
GCA.002399265.1.Bacteria.Firmicutes.G
GCA.002408345.1.Bacteria.Firmicutes.G
GCA.002399235.1.Bacteria.Firmicutes.G
GCA.002159155.1.Bacteria.Firmicutes.G
GCA.001513395.1.Bacteria.Firmicutes.G
GCA.002396805.1.Bacteria.Firmicutes.G
GCA.001513495.1.Bacteria.Firmicutes.G
GCA.001513125.1.Bacteria.DTU030
GCF.000020005.1.Bacteria.Firmicutes.D
GCF.000328625.1.Bacteria.Firmicutes.F
GCA.003070825.1.Bacteria.Firmicutes.F
GCA.002375925.1.Bacteria.Firmicutes.E
GCA.002375895.1.Bacteria.Firmicutes.E
GCA.002376005.1.Bacteria.Firmicutes.E
GCA.003599345.1.Bacteria.Firmicutes.E
GCA.003449495.1.Bacteria.Firmicutes.E
GCA.002291985.1.Bacteria.Firmicutes.E
GCA.003023725.1.Bacteria.Firmicutes.E
GCA.003242675.1.Bacteria.Firmicutes.E
GCA.003242195.1.Bacteria.Firmicutes.E
GCA.002385465.1.Bacteria.Firmicutes.E
GCF.900142995.1.Bacteria.Firmicutes.A
GCA.002376045.1.Bacteria.Firmicutes.A
GCF.000166335.1.Bacteria.Firmicutes.A
GCF.000213255.1.Bacteria.Firmicutes.A
GCF.900129115.1.Bacteria.Firmicutes.A
GCA.002399285.1.Bacteria.Firmicutes.A
GCF.002252565.1.Bacteria.Firmicutes.A
GCA.002293295.1.Bacteria.Firmicutes.A
GCA.001916065.1.Bacteria.Firmicutes.A
GCA.900317035.1.Bacteria.Firmicutes.A
GCA.002308775.1.Bacteria.Firmicutes.A
GCA.002307275.1.Bacteria.Firmicutes.A
GCA.003527145.1.Bacteria.Firmicutes.A
GCF.900104115.1.Bacteria.Firmicutes.A
GCA.002297185.1.Bacteria.Firmicutes.A
GCF.900142265.1.Bacteria.Firmicutes.A
GCF.900107485.1.Bacteria.Firmicutes.A
GCA.900066305.1.Bacteria.Firmicutes.A
GCA.002478485.1.Bacteria.Firmicutes.A
GCA.002345475.1.Bacteria.Firmicutes.H
GCA.002411145.1.Bacteria.Firmicutes.C
GCA.002329525.1.Bacteria.Firmicutes.C
GCF.001553315.1.Bacteria.Firmicutes.C
GCF.000425045.1.Bacteria.Firmicutes.C
GCF.002257705.1.Bacteria.Firmicutes.C
GCF.900104455.1.Bacteria.Firmicutes.C
GCF.000430605.1.Bacteria.Firmicutes.C
GCF.001950325.1.Bacteria.Firmicutes.B
GCF.000024605.1.Bacteria.Firmicutes.B
GCA.002329495.1.Bacteria.Firmicutes.B
GCF.900176005.1.Bacteria.Firmicutes.B
GCA.001513545.1.Bacteria.Firmicutes.B
GCF.000620305.1.Bacteria.Firmicutes.B
GCA.002418765.1.Bacteria.Firmicutes.B
GCA.000987045.1.Bacteria.Firmicutes.B
GCF.002207765.1.Bacteria.Firmicutes.B
GCA.002352935.1.Bacteria.Firmicutes.B
GCA.001508005.1.Bacteria.Firmicutes.B
GCA.001512665.1.Bacteria.Firmicutes.B
GCA.000961765.1.Bacteria.Firmicutes.B
GCF.900100785.1.Bacteria.Firmicutes.B
GCF.002607855.1.Bacteria.Firmicutes.B
GCF.000019165.1.Bacteria.Firmicutes.B
GCA.002398485.1.Bacteria.Firmicutes.B
GCF.002224645.1.Bacteria.Firmicutes.B
GCA.002482535.1.Bacteria.Firmicutes.B
GCA.003444595.1.Bacteria.Firmicutes.D
GCA.002385745.1.Bacteria.Firmicutes.D
GCF.900111575.1.Bacteria.Firmicutes.D
GCA.002423965.1.Bacteria.Firmicutes.D
GCF.002335525.1.Bacteria.Firmicutes
GCF.001399675.1.Bacteria.Firmicutes
GCF.000092905.1.Bacteria.Firmicutes
GCF.001653195.1.Bacteria.Firmicutes
GCF.001311905.1.Bacteria.Firmicutes
GCF.000218765.1.Bacteria.Firmicutes
GCA.002159075.1.Bacteria.Firmicutes
GCF.001742305.1.Bacteria.Firmicutes
GCF.000942395.1.Bacteria.Firmicutes
GCF.900099895.1.Bacteria.Firmicutes
GCF.001561915.1.Bacteria.Firmicutes
GCF.001049895.1.Bacteria.Firmicutes
GCF.004522215.1.Bacteria.Firmicutes
GCF.000503775.1.Bacteria.Firmicutes
GCF.001908175.1.Bacteria.Firmicutes
GCF.001618145.1.Bacteria.Firmicutes
GCF.002902625.1.Bacteria.Firmicutes
GCF.000440555.1.Bacteria.Firmicutes
GCF.000178255.1.Bacteria.Firmicutes
GCF.001189415.1.Bacteria.Firmicutes
GCA.003245625.1.Bacteria.Firmicutes
GCA.000431235.1.Bacteria.Firmicutes
GCA.000433675.1.Bacteria.Firmicutes
GCF.000828855.1.Bacteria.Firmicutes
GCF.000702165.1.Bacteria.Firmicutes
GCA.900320745.1.Bacteria.Firmicutes
