"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node624.P.C.",0.921249519,0.922107,0.885242,0.955878,921.318806848939,1,"passed",0.944920836236749,"passed",0.963690381977747,"passed",0.00121090260141635
"Node625.P.A.",0.00268523,0.002428,0.000478,0.005452,903.509316384493,1,"passed",0.781981571534407,"passed",0.963690381977747,"passed",9.26390157131302e-05
"Node625.P.B.",0.083783124,0.0829815,0.046613,0.121833,921.953039109032,1,"passed",0.945813635103305,"passed",0.963690381977747,"passed",0.00128910299453739
"Node625.P.C.",0.913531644,0.9145965,0.87234,0.9527,920.899107845253,1,"passed",0.944138003834025,"passed",0.963690381977747,"passed",0.00137977190887045
"Node626.P.A.",0.000686749,0.0006185,0.000123,0.001401,902.712085393792,1,"passed",0.78340410154847,"passed",0.963690381977747,"passed",2.38796314408847e-05
"Node626.P.B.",0.044721739,0.044114,0.024407,0.066374,920.090516758672,1,"passed",0.94456048494776,"passed",0.963690381977747,"passed",0.00072131945086616
"Node626.P.C.",0.954591489,0.9552685,0.932127,0.975417,919.607291057617,1,"passed",0.714492981922934,"passed",0.963690381977747,"passed",0.000744731804260987
"Node627.P.A.",0.05686262,0.056045,0.026507,0.087979,920.192802319277,1,"passed",0.632542502286338,"passed",0.963690381977747,"passed",0.00104187959560048
"Node627.P.B.",0.752565705,0.752353,0.718622,0.79078,1000,1,"passed",0.38157494251373,"passed",0.963690381977747,"passed",0.00115929178297771
"Node627.P.C.",0.190571677,0.189361,0.150623,0.23422,1000,1,"passed",0.245361600119619,"passed",0.963690381977747,"passed",0.00143019325625552
"Node628.P.A.",0.055159332,0.0543265,0.025585,0.085528,919.791257123214,1,"passed",0.630183245265206,"passed",0.963690381977747,"passed",0.00101575878354871
"Node628.P.B.",0.745751397,0.745363,0.713163,0.787263,999.999999999999,1,"passed",0.360575680625002,"passed",0.963690381977747,"passed",0.00118795435110496
"Node628.P.C.",0.19908928,0.197873,0.157739,0.244161,1000,1,"passed",0.245981419268316,"passed",0.963690381977747,"passed",0.0014776371411972
"Node629.P.A.",0.000362151,0.000275,2.4e-05,0.000982,881.975675166068,1,"passed",0.842323301973089,"passed",0.963690381977747,"passed",2.01339955007617e-05
"Node629.P.B.",0.036350601,0.0344855,0.011405,0.064062,909.680334927298,1,"passed",0.779559622830711,"passed",0.963690381977747,"passed",0.000934694117866082
