"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node435.P.A.",0.727468647,0.719963,0.687289,0.822079,1000,1,"passed",0.591986469516725,"passed",0.660842461042574,"passed",0.00232473019580951
"Node435.P.B.",0.268748834,0.2762255,0.176771,0.305059,999.999999999999,1,"passed",0.612137783909372,"passed",0.677328813167918,"passed",0.00226018508908674
"Node435.P.C.",0.003782547,0.0034825,0.000204,0.007618,1000,1,"passed",0.451716027492333,"passed",0.536380592095111,"passed",0.00012402537210296
"Node436.P.A.",0.630378224,0.624278,0.544572,0.784801,1000,1,"passed",0.288349634122683,"passed",0.402548295090015,"passed",0.00347694464919473
"Node436.P.B.",0.36472252,0.370491,0.215321,0.44955,1000,1,"passed",0.311135431071049,"passed",0.417242007919436,"passed",0.00339074697842057
"Node436.P.C.",0.004899263,0.004437,3.7e-05,0.010611,1000,1,"passed",0.266353342397093,"passed",0.389722429282569,"passed",0.000183459506447698
"Node437.P.A.",0.299465153,0.2990355,0.210124,0.398866,999.999999999998,1,"passed",0.0717577926602542,"passed",0.349248945461001,"passed",0.00310604274546539
"Node437.P.B.",0.532046915,0.531052,0.464594,0.612734,1167.42436981959,1,"passed",0.454811321460295,"passed",0.539062084305373,"passed",0.00219159949723838
"Node437.P.C.",0.168487924,0.16944,0.073924,0.256105,1000,1,"passed",0.260315380964763,"passed",0.384652886892586,"passed",0.00286893680263512
"Node438.P.A.",0.111851026666667,0.1112725,0.056068,0.173321,1000,101,"passed",0.066652542594265,"passed",0.349248945461001,"passed",0.00204988564446105
"Node438.P.B.",0.376178191,0.3714235,0.308481,0.444832,1000,1,"passed",0.508374968482765,"passed",0.588084424725977,"passed",0.00212827854483022
"Node438.P.C.",0.512306259,0.5145185,0.410711,0.629198,999.999999999999,1,"passed",0.128727782539632,"passed",0.349248945461001,"passed",0.00351513067920911
"Node439.P.A.",0.04449564,0.042843,0.017454,0.075589,1000,1,"passed",0.114006350903635,"passed",0.349248945461001,"passed",0.000981963272665365
"Node439.P.B.",0.196241293,0.1970485,0.150061,0.237374,999.999999999998,1,"passed",0.291263444138548,"passed",0.404235110890815,"passed",0.00142638912314852
"Node439.P.C.",0.759263072,0.759413,0.692927,0.837211,1000,1,"passed",0.195472958218599,"passed",0.349248945461001,"passed",0.00236668498681376
"Node440.P.A.",0.066213184,0.0650835,0.033099,0.100364,999.999999999999,1,"passed",0.117580283511483,"passed",0.349248945461001,"passed",0.00111485827263812
