"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node888.P.A.",0.060202974,0.0596265,0.006559,0.117988,660.45134289319,1,"passed",0.46129299466759,"passed",0.72445110954245,"passed",0.00245612362474951
"Node888.P.B.",0.3087801,0.302566,0.24242,0.414167,507.807682376576,1,"passed",0.68702169979619,"passed",0.786370425992208,"passed",0.0035999259695385
"Node888.P.C.",0.631016936,0.6288575,0.541777,0.730139,871.046334307555,1,"passed",0.323885758844659,"passed",0.72445110954245,"passed",0.00331354114165219
"Node889.P.A.",0.009016627,0.0086035,0.001275,0.017673,856.070589730006,1,"passed",0.182929372340552,"passed",0.72445110954245,"passed",0.000315139016629411
"Node889.P.B.",0.133046053,0.124892,0.072476,0.231429,509.195316120844,1,"passed",0.462018161250459,"passed",0.72445110954245,"passed",0.00377200006643659
"Node889.P.C.",0.857937298,0.8658845,0.766209,0.924951,540.93893053138,1,"passed",0.382071276895258,"passed",0.72445110954245,"passed",0.00373262733587236
"Node890.P.A.",0.147829178,0.1561105,0.032195,0.243154,584.580236418974,1,"passed",0.61238086098469,"passed",0.744566326773074,"passed",0.00478848370046871
"Node890.P.B.",0.435979583,0.428152,0.393749,0.505335,630.697010658138,1,"passed",0.0748193606622126,"passed",0.72445110954245,"passed",0.00234390659630476
"Node890.P.C.",0.416191241,0.41388,0.341665,0.494261,852.494882173618,1,"passed",0.57848919896277,"passed",0.736202519423363,"passed",0.00291009753672646
"Node891.P.A.",0.051873285,0.05165,0.005323,0.092849,711.629946724383,1,"passed",0.209546615226221,"passed",0.72445110954245,"passed",0.0018052364319099
"Node891.P.B.",0.227304645,0.2178465,0.146002,0.381337,434.91352261732,1,"passed",0.508684316083747,"passed",0.72445110954245,"passed",0.00493412935950816
"Node891.P.C.",0.72082206,0.7257155,0.600434,0.840567,673.800038432418,1,"passed",0.22393388219022,"passed",0.72445110954245,"passed",0.00439267769305188
"Node892.P.A.",0.096975764,0.100363,0.035453,0.152287,648.731873414502,1,"passed",0.332587179864521,"passed",0.72445110954245,"passed",0.00239877436336248
"Node892.P.B.",0.274295366,0.265072,0.224,0.402584,412.358348776062,1,"passed",0.615494407176314,"passed",0.74661836429541,"passed",0.00387260545769166
"Node892.P.C.",0.628728848,0.6299585,0.533662,0.714762,754.120942904648,1,"passed",0.173381228567499,"passed",0.72445110954245,"passed",0.00320953193670655
"Node893.P.A.",0.08682364,0.0895535,0.02765,0.136624,654.372082471689,1,"passed",0.322332173695768,"passed",0.72445110954245,"passed",0.00223364462255698
"Node893.P.B.",0.267159185,0.2579715,0.207062,0.391451,412.03684782539,1,"passed",0.603440936202541,"passed",0.742282414158987,"passed",0.00400243640787943
"Node893.P.C.",0.646017168,0.6480565,0.556888,0.743424,729.862552725691,1,"passed",0.18781814944948,"passed",0.72445110954245,"passed",0.00332101885020833
"Node894.P.A.",0.060620353,0.061073,0.012823,0.107017,699.566181636472,1,"passed",0.220278747557307,"passed",0.72445110954245,"passed",0.00193467101230392
"Node894.P.B.",0.240177694,0.2311165,0.164301,0.384687,430.49901540411,1,"passed",0.531431046971727,"passed",0.725132359455778,"passed",0.00464028361529874
"Node894.P.C.",0.699201959,0.7031185,0.582539,0.808553,690.444479846504,1,"passed",0.213345210979207,"passed",0.72445110954245,"passed",0.00409449073809898
"Node895.P.A.",0.087367172,0.089836,0.023254,0.139589,670.526484006755,1,"passed",0.303598111410537,"passed",0.72445110954245,"passed",0.00238179874323459
"Node895.P.B.",0.266181033,0.257317,0.208747,0.403442,425.224960524305,1,"passed",0.579007854829449,"passed",0.736202519423363,"passed",0.00411712072669109
"Node895.P.C.",0.646451785,0.6480835,0.541022,0.741466,749.299809852172,1,"passed",0.176963947566788,"passed",0.72445110954245,"passed",0.00357113417697717
"Node896.P.A.",0.098897451,0.1024,0.03648,0.154607,647.681044112639,1,"passed",0.334522949607631,"passed",0.72445110954245,"passed",0.002427507476397
"Node896.P.B.",0.275572494,0.266354,0.22578,0.403051,412.46449811403,1,"passed",0.617484734424056,"passed",0.746960350608625,"passed",0.00384552267680953
"Node896.P.C.",0.625530082,0.6266285,0.532252,0.711825,758.69992696415,1,"passed",0.170834703544884,"passed",0.72445110954245,"passed",0.00318803532141857
"Node897.P.A.",0.208247292,0.217154,0.120133,0.27407,618.460710692077,1,"passed",0.425276429175663,"passed",0.72445110954245,"passed",0.00327117275844301
"Node897.P.B.",0.319676807,0.313472,0.279351,0.381959,434.464729736647,1,"passed",0.688036207144164,"passed",0.786894056261402,"passed",0.00227987821722
"Node897.P.C.",0.47207591,0.468268,0.403947,0.549826,908.863602275209,1,"passed",0.130273873160959,"passed",0.72445110954245,"passed",0.00249234046265426
"Node898.P.A.",0.145858047,0.152298,0.063393,0.205588,625.098640795397,1,"passed",0.380699158990679,"passed",0.72445110954245,"passed",0.00295940631313017
"Node898.P.B.",0.299773317,0.2911755,0.259443,0.402271,415.00586093074,1,"passed",0.662762833666931,"passed",0.773775608306142,"passed",0.0031964824861015
"Node898.P.C.",0.554368621,0.5524145,0.477375,0.637113,851.33957923627,1,"passed",0.132680101305901,"passed",0.72445110954245,"passed",0.00274366157209001
"Node899.P.A.",0.102117148,0.105832,0.038098,0.158574,646.055341786534,1,"passed",0.3376194119406,"passed",0.72445110954245,"passed",0.00247818893488644
"Node899.P.B.",0.277541659,0.268338,0.228203,0.403793,412.452517625672,1,"passed",0.621842020912441,"passed",0.749558099691286,"passed",0.00381141419556178
"Node899.P.C.",0.620341207,0.621211,0.529064,0.706714,765.743584605768,1,"passed",0.167133915580307,"passed",0.72445110954245,"passed",0.00315820499072878
"Node900.P.A.",0.134041238,0.138932,0.028305,0.216428,675.965883207555,1,"passed",0.313599755550191,"passed",0.72445110954245,"passed",0.00388550360867252
"Node900.P.B.",0.288884424,0.285103,0.228801,0.406782,507.949957471347,1,"passed",0.465350994839437,"passed",0.72445110954245,"passed",0.00342139662796395
"Node900.P.C.",0.577074339,0.572724,0.459301,0.710417,899.632293798647,1,"passed",0.106109629666543,"passed",0.72445110954245,"passed",0.00424892358691221
"Node901.P.A.",0.16089865,0.168694,0.051652,0.236399,640.666534963545,1,"passed",0.365218083225527,"passed",0.72445110954245,"passed",0.00384136972544339
"Node901.P.B.",0.301843433,0.297144,0.255397,0.405401,474.221025548898,1,"passed",0.533016824149118,"passed",0.72548848003932,"passed",0.00296560258701583
"Node901.P.C.",0.537257908,0.532532,0.439345,0.649168,908.993257894212,1,"passed",0.110615798907591,"passed",0.72445110954245,"passed",0.00357464017457614
"Node902.P.A.",0.176535603,0.1855035,0.078162,0.256956,627.129237076662,1,"passed",0.391845135074382,"passed",0.72445110954245,"passed",0.00373758598772419
"Node902.P.B.",0.308337087,0.3028515,0.268329,0.403648,457.250788094416,1,"passed",0.58430655298245,"passed",0.738332516001255,"passed",0.00275029684893193
"Node902.P.C.",0.515127306,0.5108775,0.426761,0.614982,910.383601839936,1,"passed",0.115715792402998,"passed",0.72445110954245,"passed",0.00320946016653227
"Node903.P.A.",0.193897591,0.203416,0.100564,0.266305,612.852511707953,1,"passed",0.422050009657686,"passed",0.72445110954245,"passed",0.00351588069279822
