"BT_node","origin"
"0","B"
"1","B"
"2","not_sure"
"3","not_sure"
"4","not_sure"
"5","not_sure"
"6","not_sure"
"7","not_sure"
"8","not_sure"
"9","C"
"10","not_sure"
"11","not_sure"
"12","not_sure"
"13","B"
"14","not_sure"
"15","D"
"16","B.D"
"17","not_sure"
"18","B"
"19","B"
"20","not_sure"
"21","not_sure"
"22","not_sure"
"23","B"
"24","not_sure"
"25","B"
"26","B"
"27","not_sure"
"28","not_sure"
"29","not_sure"
"30","not_sure"
"31","not_sure"
"32","not_sure"
"33","not_sure"
"34","not_sure"
"35","not_sure"
"36","not_sure"
"37","not_sure"
"38","not_sure"
"39","B"
"40","B"
"41","not_sure"
"42","B"
"43","B"
"44","not_sure"
"45","D"
"46","C"
"47","B"
"48","B"
"49","not_sure"
"50","not_sure"
"51","D"
"52","D"
"53","B"
"54","not_sure"
"55","not_sure"
"56","not_sure"
"57","not_sure"
"58","not_sure"
"59","not_sure"
"60","not_sure"
"61","B"
"62","B"
"63","not_sure"
"64","not_sure"
"65","C"
"66","B"
"67","not_sure"
"68","B"
"69","B"
"70","not_sure"
"71","B"
"72","not_sure"
"73","not_sure"
"74","not_sure"
"75","not_sure"
"76","not_sure"
"77","not_sure"
"78","B"
"79","B"
"80","not_sure"
"81","not_sure"
"82","not_sure"
"83","not_sure"
"84","C"
"85","C"
"86","B.D"
"87","not_sure"
"88","C"
"89","C"
"90","C"
"91","C"
"92","C"
"93","C"
"94","not_sure"
"95","not_sure"
"96","C"
"97","C"
"98","C"
"99","C"
"100","C"
"101","not_sure"
"102","not_sure"
"103","not_sure"
"104","C"
"105","C"
"106","C"
"107","C"
"108","not_sure"
"109","C"
"110","not_sure"
"111","D"
"112","C"
"113","C"
"114","not_sure"
"115","not_sure"
"116","not_sure"
"117","not_sure"
"118","not_sure"
"119","not_sure"
"120","not_sure"
"121","B"
"122","B"
"123","B"
"124","not_sure"
"125","not_sure"
"126","not_sure"
"127","not_sure"
"128","not_sure"
"129","D"
"130","D"
"131","not_sure"
"132","not_sure"
"133","not_sure"
"134","not_sure"
"135","not_sure"
"136","not_sure"
"137","not_sure"
"138","B.D"
"139","not_sure"
"140","not_sure"
"141","not_sure"
"142","D"
"143","D"
"144","D"
"145","not_sure"
"146","not_sure"
"147","not_sure"
"148","C"
"149","D"
"150","D"
"151","not_sure"
"152","B"
"153","not_sure"
"154","not_sure"
"155","not_sure"
"156","not_sure"
"157","not_sure"
"158","B"
"159","B"
"160","not_sure"
"161","not_sure"
"162","not_sure"
"163","not_sure"
"164","not_sure"
"165","not_sure"
"166","not_sure"
"167","B"
"168","B"
"169","not_sure"
"170","B"
"171","not_sure"
"172","B"
"173","B"
"174","B"
"175","B"
"176","not_sure"
"177","B"
"178","B"
"179","B"
"180","B"
"181","B"
"182","B"
"183","B"
"184","B"
"185","B"
"186","not_sure"
"187","not_sure"
"188","not_sure"
"189","B"
"190","not_sure"
"191","B.D"
"192","not_sure"
"193","B"
"194","B"
"195","not_sure"
"196","C"
"197","not_sure"
"198","B"
"199","B"
"200","B"
"201","B"
"202","B"
"203","B"
"204","not_sure"
"205","D"
"206","D"
"207","not_sure"
"208","not_sure"
"209","not_sure"
"210","not_sure"
"211","B"
"212","B"
"213","not_sure"
"214","not_sure"
"215","B"
"216","D"
"217","D"
"218","not_sure"
"219","D"
"220","D"
"221","D"
"222","not_sure"
"223","B"
"224","B"
"225","B"
"226","B"
"227","B"
"228","not_sure"
"229","not_sure"
"230","not_sure"
"231","B"
"232","not_sure"
"233","B"
"234","B"
"235","B"
"236","B"
"237","B"
"238","B"
"239","not_sure"
"240","not_sure"
"241","D"
"242","not_sure"
"243","not_sure"
"244","not_sure"
"245","B.D"
"246","D"
"247","D"
"248","B"
"249","not_sure"
"250","not_sure"
"251","not_sure"
"252","B"
"253","not_sure"
"254","not_sure"
"255","C"
"256","C"
"257","not_sure"
"258","not_sure"
"259","not_sure"
"260","not_sure"
"261","C"
"262","not_sure"
"263","B"
"264","C"
"265","not_sure"
"266","C"
"267","C"
