"","stationarity_pval","Halfwidth_test","mean","halfwidth"
"Node0.P.B.",0.440523427977103,"passed",0.319716594,0.00181839371997861
"Node0.P.C.",0.591306731542519,"passed",0.042745588,0.000996019548259195
"Node0.P.D.",0.505084334837096,"passed",0.65116811,0.00278978516485437
"Node1.P.B.",0.4464958239975,"passed",0.319397012,0.00189792322865643
"Node1.P.C.",0.604092434896233,"passed",0.029434892,0.000916738061976272
"Node1.P.D.",0.228791177262399,"passed",0.326933318,0.00060420845591365
"Node2.P.B.",0.33614261006811,"passed",0.428434462,0.00226165292401093
"Node2.P.C.",0.383577612140334,"passed",0.244632202,0.00166523005291061
"Node2.P.D.",0.463678702908968,"passed",0.41345555,0.000998752906160069
"Node3.P.B.",0.409668203603442,"passed",0.37842039,0.000575264052541822
"Node3.P.C.",0.443580733692217,"passed",0.208124044,0.0015735854188391
"Node3.P.D.",0.409606838717437,"passed",0.484326534,0.00210615495057472
"Node4.P.B.",0.350707799713997,"passed",0.30792165,0.000889702861637038
"Node4.P.C.",0.455296662394978,"passed",0.207751818,0.00122011269286715
"Node4.P.D.",0.398540283640132,"passed",0.258767656,0.00132756597686413
"Node5.P.B.",0.339226889164292,"passed",0.392521618,0.00159806647910167
"Node5.P.C.",0.150261555633826,"passed",0.348710732,0.000286041716052977
"Node5.P.D.",0.552065935240574,"passed",0.476896146,0.000952376429236678
"Node6.P.B.",0.484961807424347,"passed",0.423894848,0.000658280143668748
"Node6.P.C.",0.524803883123553,"passed",0.099209034,0.00160977095893208
"Node6.P.D.",0.50292044868702,"passed",0.138425012,0.00221820712933331
"Node7.P.B.",0.43384083556445,"passed",0.271753366,0.000545312748272377
"Node7.P.C.",0.4889178164117,"passed",0.589821654,0.00276291061084733
"Node7.P.D.",0.437255294997581,"passed",0.20562671,0.00172487325306483
"Node8.P.B.",0.388808410414616,"passed",0.442123362,0.00214539872563111
"Node8.P.C.",0.23117455618306,"passed",0.352249958,0.000431985316829763
"Node8.P.D.",0.430122812909913,"passed",0.19756102,0.00194054491148357
"Node9.P.B.",0.430127469795183,"passed",0.60487794,0.00388108656678843
"Node9.P.C.",0.430122812909913,"passed",0.19756102,0.00194054491148357
"Node9.P.D.",0.472743747374905,"passed",0.157766282,0.00204287340424168
"Node10.P.B.",0.426811597266731,"passed",0.21476872,0.00148050522330103
"Node10.P.C.",0.45321925727815,"passed",0.62746502,0.00352258759151036
"Node10.P.D.",0.456137838757312,"passed",0.166586366,0.00174246557791155
"Node11.P.B.",0.456137838757312,"passed",0.166586366,0.00174246557791155
"Node11.P.C.",0.456114250834049,"passed",0.666827304,0.00348492906599026
"Node11.P.D.",0.430288714384946,"passed",0.226743634,0.00131699081452147
"Node12.P.B.",0.382155705579525,"passed",0.35690637,0.000608470092284929
"Node12.P.C.",0.473128384818168,"passed",0.41634996,0.000710249289313961
"Node12.P.D.",0.480487301543409,"passed",0.713276946,0.0038664234022269
"Node13.P.B.",0.445491602951137,"passed",0.2575206,0.00312841532263156
"Node13.P.C.",0.596880680460666,"passed",0.029202442,0.00076540195277067
"Node13.P.D.",0.110028873179814,"passed",0.329922042,9.9726643737418e-05
"Node14.P.B.",0.411918897429568,"passed",0.232040294,0.00152546237960199
"Node14.P.C.",0.383069789300442,"passed",0.43803766,0.00161610069222092
"Node14.P.D.",0.547789248582561,"passed",0.03919941,0.000695417724064506
"Node15.P.B.",0.547789248582561,"passed",0.03919941,0.000695417724064506
"Node15.P.C.",0.547739289096983,"passed",0.921601196,0.00139083850380074
"Node15.P.D.",0.431925375456942,"passed",0.45567677,0.00142082927063957
"Node16.P.B.",0.414870528312458,"passed",0.254611164,0.00121955586245437
"Node16.P.C.",0.536544801480663,"passed",0.289712034,0.000203001011841497
"Node16.P.D.",0.446368386459027,"passed",0.592781844,0.0022799438167722
"Node17.P.B.",0.423548736339729,"passed",0.25443302,0.0012370926448045
"Node17.P.C.",0.473703116896556,"passed",0.152785132,0.00104387658669344
"Node17.P.D.",0.48695912514805,"passed",0.72070887,0.00328185919792716
"Node18.P.B.",0.455414857711168,"passed",0.271864576,0.00288547894906363
"Node18.P.C.",0.605023364207246,"passed",0.007426588,0.000434662442706908
"Node18.P.D.",0.456465448210247,"passed",0.591032824,0.00254286106818227
"Node19.P.B.",0.301189229118616,"passed",0.372585784,0.00133499450388192
"Node19.P.C.",0.619401228051958,"passed",0.036381432,0.00126671677977881
"Node19.P.D.",0.473743325139169,"passed",0.393105698,0.000619050659094677
"Node20.P.B.",0.343409145066163,"passed",0.343813208,9.84371354483041e-05
"Node20.P.C.",0.454778048985438,"passed",0.263081056,0.000716763693320374
"Node20.P.D.",0.426667618741961,"passed",0.525944646,0.0022362809218621
"Node21.P.B.",0.386635223513087,"passed",0.288941462,0.00107253932657584
"Node21.P.C.",0.464706561614723,"passed",0.185113894,0.00116603209024357
"Node21.P.D.",0.442183612160709,"passed",0.211838188,0.00133161443104268
"Node22.P.B.",0.402491727598511,"passed",0.364094944,0.000657309986464516
"Node22.P.C.",0.481754053019799,"passed",0.424066896,0.000675680807145172
"Node22.P.D.",0.449498348891949,"passed",0.571328798,0.00233431879841732
"Node23.P.B.",0.256427797982891,"passed",0.38796424,0.00105192790944685
"Node23.P.C.",0.612158118675439,"passed",0.040706964,0.00134651346992892
"Node23.P.D.",0.545857730874411,"passed",0.473450556,0.000999088604524576
"Node24.P.B.",0.482871539058936,"passed",0.421502308,0.000671393927686125
"Node24.P.C.",0.520600960766423,"passed",0.105047142,0.00166971574283254
"Node24.P.D.",0.421051205809858,"passed",0.541259648,0.00232831624974711
"Node25.P.B.",0.21124722025523,"passed",0.382096622,0.000808276593594173
"Node25.P.C.",0.556316216612171,"passed",0.076643716,0.00157145125953223
"Node25.P.D.",0.4353117325442,"passed",0.412306958,0.000512603086839683
"Node26.P.B.",0.56761958930566,"passed",0.421362098,0.000653129417117599
"Node26.P.C.",0.508356129793578,"passed",0.166330952,0.00116413542744515
"Node26.P.D.",0.613485174552801,"passed",0.03931891,0.00126891754876653
"Node27.P.B.",0.511356042109747,"passed",0.190297448,0.000975023839027163
"Node27.P.C.",0.572574763939493,"passed",0.770383636,0.0022381572803022
"Node27.P.D.",0.524343077020159,"passed",0.106198672,0.00180598407175002
"Node28.P.B.",0.390128474554292,"passed",0.348311494,0.00073404225456777
"Node28.P.C.",0.611485934719557,"passed",0.545489804,0.00108545460979073
"Node28.P.D.",0.476374881622314,"passed",0.149671682,0.00167208306204699
"Node29.P.B.",0.395548650480865,"passed",0.25143294,0.000869487845527017
"Node29.P.C.",0.448038634999394,"passed",0.598895362,0.00253976422198526
"Node29.P.D.",0.457151059921826,"passed",0.189442648,0.0013129247893311
"Node30.P.B.",0.426969293199909,"passed",0.37570897,0.000701791668440558
"Node30.P.C.",0.492062423981542,"passed",0.434848382,0.000612087181872841
"Node30.P.D.",0.469205929546984,"passed",0.154355256,0.00170495814498548
"Node31.P.B.",0.415276467648232,"passed",0.523478738,0.00280909165105664
"Node31.P.C.",0.338781720265248,"passed",0.322166012,0.00111116830009768
"Node31.P.D.",0.468009953745178,"passed",0.169743234,0.00126163555646598
"Node32.P.B.",0.444238502541336,"passed",0.386624186,0.000713720895435058
"Node32.P.C.",0.498959228817361,"passed",0.44363254,0.000548588408635832
"Node32.P.D.",0.553177181179786,"passed",0.079466688,0.00169989336246465
"Node33.P.B.",0.424994006795121,"passed",0.23441018,0.000899179713055114
"Node33.P.C.",0.508808253218849,"passed",0.686123126,0.00259382225220018
"Node33.P.D.",0.485469155520297,"passed",0.14613515,0.0016699303748627
"Node34.P.B.",0.407533033894462,"passed",0.36249109,0.000765327160097223
"Node34.P.C.",0.551482601061607,"passed",0.491373764,0.000909934594715766
"Node34.P.D.",0.488679167071988,"passed",0.130861718,0.00156633617357494
"Node35.P.B.",0.405141954027691,"passed",0.239284132,0.000932382154738057
"Node35.P.C.",0.456929949157746,"passed",0.629854128,0.00249660215249826
"Node35.P.D.",0.469952629783109,"passed",0.165800052,0.00124787919233676
"Node36.P.B.",0.447270437538349,"passed",0.38888007,0.000713196487721902
"Node36.P.C.",0.500100447449706,"passed",0.445319902,0.000535310587847401
"Node36.P.D.",0.474561694482033,"passed",0.150343384,0.00163738144414724
"Node37.P.B.",0.401162326506138,"passed",0.247648456,0.000891229035993775
"Node37.P.C.",0.448152057747888,"passed",0.602008148,0.00252710092210416
"Node37.P.D.",0.470828016437111,"passed",0.16394505,0.00124102835450123
"Node38.P.B.",0.448659827624807,"passed",0.389949052,0.000712622045197254
"Node38.P.C.",0.500737058071246,"passed",0.446105888,0.000529014967622645
"Node38.P.D.",0.504433216631707,"passed",0.676566016,0.00217720431451906
"Node39.P.B.",0.450916760911598,"passed",0.308288138,0.00161934136770124
"Node39.P.C.",0.620377815743571,"passed",0.015145872,0.000578325298492812
"Node39.P.D.",0.685105582945876,"passed",0.568909422,0.000629579005751724
"Node40.P.B.",0.207785982996516,"passed",0.406792246,0.000160758734276031
"Node40.P.C.",0.609560691479041,"passed",0.024298346,0.00076670609682398
"Node40.P.D.",0.581589541075322,"passed",0.492261578,0.000696149552297359
"Node41.P.B.",0.493838469029279,"passed",0.435771288,0.000582536140885061
"Node41.P.C.",0.542630577721593,"passed",0.07196718,0.0012770936207586
"Node41.P.D.",0.63671032968243,"passed",0.52427958,0.000705868469425566
"Node42.P.B.",0.391702934932083,"passed",0.402440872,0.00048786465785553
"Node42.P.C.",0.542955068037453,"passed",0.073279546,0.00118184437570044
"Node42.P.D.",0.529763875281643,"passed",0.83747789,0.00260250862310414
"Node43.P.B.",0.510284295615806,"passed",0.152495026,0.00222623360816255
"Node43.P.C.",0.619353800212316,"passed",0.01002704,0.000383760169509055
"Node43.P.D.",0.506048609217564,"passed",0.12189741,0.00161621954778891
"Node44.P.B.",0.407334176647403,"passed",0.391958086,0.00120063023302773
"Node44.P.C.",0.714976699589653,"passed",0.486144502,0.000441656221531552
"Node44.P.D.",0.491566304894743,"passed",0.122572136,0.00158108136349436
"Node45.P.B.",0.491566304894743,"passed",0.122572136,0.00158108136349436
"Node45.P.C.",0.491549045507419,"passed",0.754855726,0.00316216396784123
"Node45.P.D.",0.454003755745979,"passed",0.174042372,0.0019577367352762
"Node46.P.B.",0.454009079151996,"passed",0.651915286,0.00391547251621248
"Node46.P.C.",0.454003755745979,"passed",0.174042372,0.0019577367352762
"Node46.P.D.",0.50789378900298,"passed",0.635137094,0.00236916478602697
"Node47.P.B.",0.429862830992945,"passed",0.329266186,0.0014465666915416
"Node47.P.C.",0.608077572211322,"passed",0.035596702,0.000946009249550835
"Node47.P.D.",0.507171217876767,"passed",0.51413183,0.00114806085594768
"Node48.P.B.",0.0531502464105096,"passed",0.395803166,9.3030300548458e-05
"Node48.P.C.",0.581524156393671,"passed",0.09006501,0.00112747594892411
"Node48.P.D.",0.385690814578996,"passed",0.311939966,0.000304904208786039
"Node49.P.B.",0.45876830051003,"passed",0.197346504,0.00163954618948124
"Node49.P.C.",0.446975746705183,"passed",0.490713564,0.00194367688736686
"Node49.P.D.",0.430945481594121,"passed",0.538486352,0.00225840354274358
"Node50.P.B.",0.395084655888493,"passed",0.282796112,0.0011148968874022
"Node50.P.C.",0.466813786571307,"passed",0.178717488,0.00114548544023793
"Node50.P.D.",0.505955899424174,"passed",0.120080608,0.00192778189000617
"Node51.P.B.",0.505955899424174,"passed",0.120080608,0.00192778189000617
"Node51.P.C.",0.505933005671251,"passed",0.759838818,0.00385556459923041
"Node51.P.D.",0.478415894882397,"passed",0.139374344,0.00166725500780366
"Node52.P.B.",0.478415894882397,"passed",0.139374344,0.00166725500780366
"Node52.P.C.",0.478428800677683,"passed",0.721251302,0.00333451095020432
"Node52.P.D.",0.142151160709342,"passed",0.465911046,0.000418401883586396
"Node53.P.B.",0.451483725699827,"passed",0.49781752,0.00138496031082764
"Node53.P.C.",0.606367167515022,"passed",0.036271452,0.00106065528590361
"Node53.P.D.",0.417666056601624,"passed",0.21671174,0.00207928254310811
"Node54.P.B.",0.410826272921315,"passed",0.536492082,0.00354042256541761
"Node54.P.C.",0.4012333747399,"passed",0.246796188,0.00146121139272593
"Node54.P.D.",0.404945081526957,"passed",0.229340434,0.00234007832018565
"Node55.P.B.",0.439204886754794,"passed",0.628759392,0.00444195922720609
"Node55.P.C.",0.478251846611105,"passed",0.141900152,0.00210572768020354
"Node55.P.D.",0.579657380191525,"passed",0.491326788,0.000714263956746433
"Node56.P.B.",0.493348490004162,"passed",0.434970268,0.000588155740274988
"Node56.P.C.",0.541590850296378,"passed",0.073702948,0.00130088096424097
"Node56.P.D.",0.495959084804913,"passed",0.12596365,0.0018932097973602
"Node57.P.B.",0.393668631996927,"passed",0.47926868,0.00273506016144334
"Node57.P.C.",0.220228240712521,"passed",0.394767682,0.000876414962051267
"Node57.P.D.",0.459272717450823,"passed",0.165895172,0.00170284815510331
"Node58.P.B.",0.407057098250499,"passed",0.508319566,0.00272610500312083
"Node58.P.C.",0.327980972340968,"passed",0.325785272,0.00103010456503567
"Node58.P.D.",0.475002190332995,"passed",0.154907176,0.00120432655274189
"Node59.P.B.",0.455127595895535,"passed",0.395226674,0.00070688859008388
"Node59.P.C.",0.503170958994479,"passed",0.44986616,0.000497948008849582
"Node59.P.D.",0.461256676042719,"passed",0.182403548,0.00129807296252548
"Node60.P.B.",0.433504124383646,"passed",0.379539058,0.0007088902758912
"Node60.P.C.",0.4946869320039,"passed",0.4380574,0.000590026506462468
"Node60.P.D.",0.45681894747494,"passed",0.663694144,0.00292834742023946
"Node61.P.B.",0.385299479110702,"passed",0.313387286,0.00211914158152276
"Node61.P.C.",0.620001172665253,"passed",0.022918566,0.000843853357585084
"Node61.P.D.",0.45355127928172,"passed",0.539987448,0.00156108104208634
"Node62.P.B.",0.172163724789037,"passed",0.405002746,0.000403606581923427
"Node62.P.C.",0.573915131753463,"passed",0.055009792,0.00120396541352898
"Node62.P.D.",0.338838784361594,"passed",0.361945848,0.000381820717056817
"Node63.P.B.",0.475329949622784,"passed",0.491374162,0.00150261569639409
"Node63.P.C.",0.523187460266667,"passed",0.146679994,0.00112857847798727
"Node63.P.D.",0.34049402049453,"passed",0.392061862,0.000483144590780702
"Node64.P.B.",0.499165827778036,"passed",0.55091004,0.00164678473826234
"Node64.P.C.",0.563584734115919,"passed",0.057028056,0.00117824459501485
"Node64.P.D.",0.527619304143826,"passed",0.08818835,0.00144365043280033
"Node65.P.B.",0.527638502822169,"passed",0.823623244,0.00288730361304086
"Node65.P.C.",0.527619304143826,"passed",0.08818835,0.00144365043280033
"Node65.P.D.",0.507423457808675,"passed",0.553146962,0.00202744275511396
"Node66.P.B.",0.422717885072455,"passed",0.338702152,0.00075996302255939
"Node66.P.C.",0.555173699333848,"passed",0.108150852,0.00127580629521466
"Node66.P.D.",0.432546366987989,"passed",0.224081296,0.00132134431194841
"Node67.P.B.",0.386147885139554,"passed",0.358155408,0.000618353541121095
"Node67.P.C.",0.474799491527601,"passed",0.417763294,0.000704648716801377
"Node67.P.D.",0.475702056018898,"passed",0.635120476,0.00305025003108202
"Node68.P.B.",0.412280484035349,"passed",0.291568242,0.00183602804928333
"Node68.P.C.",0.567123285815499,"passed",0.07331127,0.00122997268875629
"Node68.P.D.",0.504164914885425,"passed",0.723885714,0.00293133032154509
"Node69.P.B.",0.459022949707854,"passed",0.258679436,0.00226706829018829
"Node69.P.C.",0.623646810931607,"passed",0.017434844,0.00068580748715953
"Node69.P.D.",0.588073099779327,"passed",0.49517654,0.000637172196909277
"Node70.P.B.",0.495413279653927,"passed",0.438364836,0.000563884974508481
"Node70.P.C.",0.545861327450546,"passed",0.066458634,0.00119928887407599
"Node70.P.D.",0.526188811061447,"passed",0.8253872,0.00274207643014523
"Node71.P.B.",0.504055266200393,"passed",0.162845328,0.00230737000253621
"Node71.P.C.",0.618936940718756,"passed",0.011767466,0.00044334091126457
"Node71.P.D.",0.650227248471251,"passed",0.046237288,0.00199251448467951
"Node72.P.B.",0.271232050047863,"passed",0.339463032,0.00470896626234763
"Node72.P.C.",0.135460619950552,"passed",0.614299692,0.00314231915775956
"Node72.P.D.",0.38080964854189,"passed",0.238247512,0.00188146194691527
"Node73.P.B.",0.267763040476823,"passed",0.361780794,0.00121020830492217
"Node73.P.C.",0.628974741880924,"passed",0.39997167,0.00069744145783564
"Node73.P.D.",0.363227074027893,"passed",0.26514586,0.00138283493885477
"Node74.P.B.",0.295585847833804,"passed",0.376010556,0.00134609077139363
"Node74.P.C.",0.266279230355631,"passed",0.358843556,0.000108119701692704
"Node74.P.D.",0.386103759282751,"passed",0.267766688,0.00113594434542037
"Node75.P.B.",0.29777461541808,"passed",0.340009506,0.000390997489883659
"Node75.P.C.",0.438018583145169,"passed",0.3922238,0.000748186122731162
"Node75.P.D.",0.384305789618452,"passed",0.269075458,0.00112605414653769
"Node76.P.B.",0.293868347313835,"passed",0.339557834,0.000382058076845153
"Node76.P.C.",0.436460736920926,"passed",0.39136669,0.000747303300900902
"Node76.P.D.",0.651162337724963,"passed",0.04711496,0.00211307420831338
"Node77.P.B.",0.30976576841863,"passed",0.362127716,0.00501858259753022
