"","stationarity_pval","Halfwidth_test","mean","halfwidth"
"Node77.P.C.",0.16468849104137,"passed",0.59075734,0.00327257434622325
"Node77.P.D.",0.531265876656851,"passed",0.21411406,0.00531791808453892
"Node78.P.B.",0.525139928233781,"passed",0.592643414,0.0047560570546398
"Node78.P.C.",0.585003290316444,"passed",0.193242524,0.000563037973745874
"Node78.P.D.",0.500046510276045,"passed",0.25484467,0.00638379856600908
"Node79.P.B.",0.508621587942207,"passed",0.713033086,0.00708568156711465
"Node79.P.C.",0.570359167648803,"passed",0.03212221,0.000716046876576678
"Node79.P.D.",0.487947006059841,"passed",0.17501152,0.00209001401545863
"Node80.P.B.",0.505201120268225,"passed",0.49045542,0.00324235681838811
"Node80.P.C.",0.537692413601917,"passed",0.334533028,0.00115390098875248
"Node80.P.D.",0.580020613264374,"passed",0.09789771,0.0019585676768214
"Node81.P.B.",0.68016351350455,"passed",0.445323342,0.00198701978977776
"Node81.P.C.",0.13937336830784,"passed",0.456778964,0.000138835775095976
"Node81.P.D.",0.467273726043556,"passed",0.15679039,0.00212652074817671
"Node82.P.B.",0.467273726043556,"passed",0.15679039,0.00212652074817671
"Node82.P.C.",0.467262342303267,"passed",0.68641924,0.00425304448125276
"Node82.P.D.",0.445664281635831,"passed",0.178848628,0.0017502393954715
"Node83.P.B.",0.445664281635831,"passed",0.178848628,0.0017502393954715
"Node83.P.C.",0.445645161733696,"passed",0.642302706,0.00350048311301143
"Node83.P.D.",0.580332037504284,"passed",0.11011388,0.00213811009967006
"Node84.P.B.",0.552825814192194,"passed",0.626306112,0.0048513969736697
"Node84.P.C.",0.528948453716324,"passed",0.263579998,0.00271965973872336
"Node84.P.D.",0.582568545217436,"passed",0.128784186,0.00219974623725972
"Node85.P.B.",0.570981899403394,"passed",0.695327036,0.00538900226471207
"Node85.P.C.",0.562541084359067,"passed",0.175888786,0.00319055532585918
"Node85.P.D.",0.406407572082247,"passed",0.430831068,0.00139878641102469
"Node86.P.B.",0.396966814837478,"passed",0.275706528,0.00109491805271264
"Node86.P.C.",0.440750763037655,"passed",0.293462366,0.000304435013308615
"Node86.P.D.",0.439112117696271,"passed",0.186319594,0.00174694940950418
"Node87.P.B.",0.439112117696271,"passed",0.186319594,0.00174694940950418
"Node87.P.C.",0.439137188446095,"passed",0.627360826,0.00349389486085525
"Node87.P.D.",0.608233836832226,"passed",0.080220538,0.00232941741170469
"Node88.P.B.",0.585045617420896,"passed",0.752573848,0.00598242293828765
"Node88.P.C.",0.568648510806309,"passed",0.16720562,0.00365754668016759
"Node88.P.D.",0.55469531162676,"passed",0.146153142,0.00221450758831244
"Node89.P.B.",0.585995418879168,"passed",0.700950086,0.00431565103145168
"Node89.P.C.",0.617233025849664,"passed",0.152896814,0.00210376860815881
"Node89.P.D.",0.580854893676445,"passed",0.123265592,0.00242100785645472
"Node90.P.B.",0.609423499591338,"passed",0.80327587,0.0046923419373155
"Node90.P.C.",0.63604663627737,"passed",0.073458618,0.00227605070608472
"Node90.P.D.",0.606668680384624,"passed",0.12538805,0.00213096227834351
"Node91.P.B.",0.632180638489351,"passed",0.818751,0.00437954549245747
"Node91.P.C.",0.652894719746737,"passed",0.055860898,0.00225221177193821
"Node91.P.D.",0.614926992460847,"passed",0.06801353,0.00181079330007092
"Node92.P.B.",0.615614729596329,"passed",0.814359568,0.00530611732587585
"Node92.P.C.",0.615292549939129,"passed",0.117626892,0.00349779264156797
"Node92.P.D.",0.649091924167635,"passed",0.037182932,0.00157467428788629
"Node93.P.B.",0.627394268971097,"passed",0.851654414,0.0052476439299106
"Node93.P.C.",0.613997669058297,"passed",0.11116265,0.00368209871466614
"Node93.P.D.",0.447881480820927,"passed",0.181456282,0.00174895400912587
"Node94.P.B.",0.391982344327007,"passed",0.480819092,0.00258650187231046
"Node94.P.C.",0.290437565587103,"passed",0.337724598,0.000846709127827419
"Node94.P.D.",0.457484972752449,"passed",0.188883406,0.00131189274786573
"Node95.P.B.",0.427528961294512,"passed",0.376010266,0.000702474933531135
"Node95.P.C.",0.49230121504296,"passed",0.435106334,0.000610362767712677
"Node95.P.D.",0.625269741593652,"passed",0.053849698,0.00192252279835186
"Node96.P.B.",0.597393999157186,"passed",0.828559632,0.00534382924302418
"Node96.P.C.",0.579363551203976,"passed",0.11759066,0.00342673366614284
"Node96.P.D.",0.446258849687318,"passed",0.181846394,0.00195976115752044
"Node97.P.B.",0.446252059897905,"passed",0.636307228,0.00391951928022161
"Node97.P.C.",0.446258849687318,"passed",0.181846394,0.00195976115752044
"Node97.P.D.",0.563220593703508,"passed",0.0787249,0.00198915827872321
"Node98.P.B.",0.495450161944118,"passed",0.709798398,0.00524119252916757
"Node98.P.C.",0.453149713824664,"passed",0.21147675,0.00326332403801884
"Node98.P.D.",0.450975527884633,"passed",0.177116768,0.00195944239680224
"Node99.P.B.",0.450971856544293,"passed",0.645766472,0.00391888168276042
"Node99.P.C.",0.450975527884633,"passed",0.177116768,0.00195944239680224
"Node99.P.D.",0.52698854961991,"passed",0.092869994,0.00167172925264182
"Node100.P.B.",0.421938761876596,"passed",0.527435112,0.00297720317083621
"Node100.P.C.",0.304173741255898,"passed",0.379694858,0.001330110081925
"Node100.P.D.",0.463511596210681,"passed",0.17830121,0.00128759799103361
"Node101.P.B.",0.437159829685923,"passed",0.381807882,0.000711559909284725
"Node101.P.C.",0.496194072655228,"passed",0.439890912,0.000576823603789507
"Node101.P.D.",0.478856685193703,"passed",0.14149409,0.00165923328557909
"Node102.P.B.",0.425721138565317,"passed",0.545244286,0.0028776085033318
"Node102.P.C.",0.357991854790078,"passed",0.313261666,0.00122467363081938
"Node102.P.D.",0.472005170700754,"passed",0.161566858,0.00123190612604851
"Node103.P.B.",0.450410020544931,"passed",0.391326712,0.000711582935057194
"Node103.P.C.",0.501443107842887,"passed",0.447106422,0.000520899230647199
"Node103.P.D.",0.530625193123952,"passed",0.124336178,0.0019495683292508
"Node104.P.B.",0.410515842722851,"passed",0.523485258,0.00429422074859863
"Node104.P.C.",0.32139772070895,"passed",0.35217854,0.00237866262327015
"Node104.P.D.",0.527306802178327,"passed",0.113729158,0.0021567830152892
"Node105.P.B.",0.458284557778306,"passed",0.640643546,0.00569539214936482
"Node105.P.C.",0.416694910811861,"passed",0.245627264,0.00355160643686081
"Node105.P.D.",0.561868878889391,"passed",0.081706842,0.0018674284603457
"Node106.P.B.",0.460799742028425,"passed",0.641374644,0.00511260643101277
"Node106.P.C.",0.403302979504547,"passed",0.276918466,0.0032675160237717
"Node106.P.D.",0.569149999954044,"passed",0.071865904,0.001683030439984
"Node107.P.B.",0.444762391068759,"passed",0.577489064,0.00396056396595331
"Node107.P.C.",0.357519752030891,"passed",0.35064502,0.00230893213967458
"Node107.P.D.",0.448838535264202,"passed",0.202425028,0.00132932987416858
"Node108.P.B.",0.413589038765935,"passed",0.368865194,0.000680144588930435
"Node108.P.C.",0.486384312644521,"passed",0.428709734,0.000650368542820784
"Node108.P.D.",0.549452426995697,"passed",0.084820496,0.00179432704201862
"Node109.P.B.",0.464779141435256,"passed",0.62184881,0.00403170242830286
"Node109.P.C.",0.398303299550815,"passed",0.293330674,0.00225303985351588
"Node109.P.D.",0.509581965560492,"passed",0.120097716,0.00159887096504568
"Node110.P.B.",0.463698339526703,"passed",0.380720962,0.000845253337559836
"Node110.P.C.",0.558749436830818,"passed",0.4991813,0.000756714789313258
"Node110.P.D.",0.483672419708538,"passed",0.132753018,0.00163691996467737
"Node111.P.B.",0.483672419708538,"passed",0.132753018,0.00163691996467737
"Node111.P.C.",0.483670582552258,"passed",0.734493946,0.00327383909437154
"Node111.P.D.",0.475539562173348,"passed",0.151466446,0.00190942249769243
"Node112.P.B.",0.475550135505775,"passed",0.69706711,0.0038188434666153
"Node112.P.C.",0.475539562173348,"passed",0.151466446,0.00190942249769243
"Node112.P.D.",0.494103788143338,"passed",0.130668414,0.00180978752854355
"Node113.P.B.",0.494090923546634,"passed",0.738663144,0.00361957387461461
"Node113.P.C.",0.494103788143338,"passed",0.130668414,0.00180978752854355
"Node113.P.D.",0.436606601180719,"passed",0.199263538,0.00175792708257915
"Node114.P.B.",0.38280214963229,"passed",0.275305046,0.000709855093066151
"Node114.P.C.",0.420685251403043,"passed",0.525431438,0.00246723111957694
"Node114.P.D.",0.423084254028978,"passed",0.234805736,0.0012988816638374
"Node115.P.B.",0.369566482915873,"passed",0.353223708,0.000575425809507949
"Node115.P.C.",0.467680731076331,"passed",0.411970522,0.000725409134135585
"Node115.P.D.",0.0508160333269028,"passed",0.398313168,0.000282842350406231
"Node116.P.B.",0.321339566674154,"passed",0.402310912,0.00120411735074804
"Node116.P.C.",0.527202642282234,"passed",0.19937595,0.00106161727441831
"Node116.P.D.",0.437990954624276,"passed",0.197829052,0.00169746975038606
"Node117.P.B.",0.38984268467263,"passed",0.270157924,0.000763012983680155
"Node117.P.C.",0.42272850965462,"passed",0.53201301,0.00246000217094729
"Node117.P.D.",0.455765100214855,"passed",0.1917226,0.00131686150643807
"Node118.P.B.",0.424793420522443,"passed",0.374485926,0.000698800086505273
"Node118.P.C.",0.491108424848845,"passed",0.433791444,0.000619051940214595
"Node118.P.D.",0.668728782600969,"passed",0.483770268,0.000964218326342795
"Node119.P.B.",0.343903349027957,"passed",0.40442093,0.000679745467436364
"Node119.P.C.",0.536328003287167,"passed",0.111808826,0.00162348419821434
"Node119.P.D.",0.417769669777291,"passed",0.240348542,0.00128191612005272
"Node120.P.B.",0.359921553534035,"passed",0.350783748,0.000549961814466212
"Node120.P.C.",0.46367172777742,"passed",0.408867706,0.000734075746550501
"Node120.P.D.",0.517373898736136,"passed",0.58835428,0.00211733038022983
"Node121.P.B.",0.397261831768428,"passed",0.352031056,0.000725691178225079
"Node121.P.C.",0.575939862584213,"passed",0.059614644,0.00140474838795552
"Node121.P.D.",0.519978716553164,"passed",0.80517681,0.00295844369651729
"Node122.P.B.",0.492930658806868,"passed",0.179772842,0.00241746333128524
"Node122.P.C.",0.617741697382291,"passed",0.015050344,0.000551680296625687
"Node122.P.D.",0.325774775323177,"passed",0.413809528,0.00483582358267848
"Node123.P.B.",0.345760498120533,"passed",0.5570537,0.00526656248058222
"Node123.P.C.",0.562170247504748,"passed",0.029136746,0.000466423502110138
"Node123.P.D.",0.259281299011766,"passed",0.303818414,0.00124578204754398
"Node124.P.B.",0.316369967165411,"passed",0.376992366,0.00124872555413506
"Node124.P.C.",0.130527717753364,"passed",0.319189184,8.92525220707133e-05
"Node124.P.D.",0.209086732130089,"passed",0.326227154,0.00100697140036199
"Node125.P.B.",0.320325698062833,"passed",0.414451534,0.00203889520926331
