"BT_node","origin"
"394","C"
"395","C.D"
"396","not_sure"
"397","not_sure"
"398","not_sure"
"399","not_sure"
"400","not_sure"
"401","not_sure"
"402","C"
"403","not_sure"
"404","not_sure"
"405","not_sure"
"406","C"
"407","C"
"408","C"
"409","not_sure"
"410","not_sure"
"411","not_sure"
"412","B.C"
"413","C"
"414","C"
"415","C"
"416","not_sure"
"417","C"
"418","C"
"419","C.D"
"420","not_sure"
"421","B.D"
"422","D"
"423","D"
"424","not_sure"
"425","not_sure"
"426","not_sure"
"427","not_sure"
"428","not_sure"
"429","not_sure"
"430","B.D"
"431","not_sure"
"432","not_sure"
"433","not_sure"
"434","C.D"
"435","not_sure"
"436","B.D"
"437","not_sure"
"438","not_sure"
"439","not_sure"
"440","not_sure"
"441","C.D"
"442","not_sure"
"443","B.D"
"444","not_sure"
"445","not_sure"
"446","C"
"447","not_sure"
"448","not_sure"
"449","not_sure"
"450","C"
"451","not_sure"
"452","C"
"453","C"
"454","C"
"455","not_sure"
"456","C"
"457","C"
"458","C"
"459","not_sure"
"460","not_sure"
"461","not_sure"
"462","not_sure"
"463","C"
"464","C"
"465","C.D"
"466","not_sure"
"467","not_sure"
"468","C"
"469","C"
"470","not_sure"
"471","C.D"
"472","not_sure"
"473","not_sure"
"474","not_sure"
"475","C"
"476","not_sure"
"477","not_sure"
"478","not_sure"
"479","C"
"480","C"
"481","C"
"482","not_sure"
"483","not_sure"
"484","not_sure"
"485","not_sure"
"486","not_sure"
"487","not_sure"
"488","not_sure"
"489","not_sure"
"490","not_sure"
"491","not_sure"
"492","not_sure"
"493","not_sure"
"494","C.D"
"495","not_sure"
"496","D"
"497","not_sure"
"498","not_sure"
"499","not_sure"
"500","C.D"
"501","not_sure"
"502","not_sure"
"503","not_sure"
"504","not_sure"
"505","C"
"506","C"
"507","C"
"508","C"
"509","C"
"510","C"
"511","not_sure"
"512","C"
"513","C"
"514","C"
"515","C"
"516","C.D"
"517","not_sure"
"518","C.D"
"519","D"
"520","not_sure"
"521","not_sure"
"522","C"
"523","C"
"524","C"
"525","not_sure"
"526","not_sure"
"527","not_sure"
"528","C"
"529","C.D"
"530","not_sure"
"531","C"
"532","C"
"533","C"
"534","C"
"535","C"
"536","not_sure"
"537","C"
"538","C"
"539","C"
"540","C"
"541","C"
"542","C"
