accession,location
GCA.001889985.1.Archaea.Micrarchaeota,C
GCA.002789635.1.Archaea.Aenigmatarchaeota,B
GCA.002254415.1.Archaea.EX4484.52,D
GCA.001564035.1.Archaea.Nanohaloarchaeota,C
GCA.002779075.1.Archaea.Iainarchaeota,B
GCA.002687735.1.Archaea.Iainarchaeota,C
GCA.002779595.1.Archaea.Nanoarchaeota,C
GCA.002763265.1.Archaea.Nanoarchaeota,D
GCA.002412085.1.Archaea.Nanoarchaeota,D
GCA.002505525.1.Archaea.Nanoarchaeota,D
GCA.002497285.1.Archaea.Nanoarchaeota,C
GCA.002789275.1.Archaea.Huberarchaeota,D
GCA.000387965.1.Archaea.Nanoarchaeota,D
GCA.002841105.1.Archaea.Altiarchaeota,D
GCA.002083985.1.Archaea.Altiarchaeota,B
GCA.002254565.1.Archaea.Altiarchaeota,D
GCA.001742785.1.Archaea.Altiarchaeota,D
GCA.001723855.1.Archaea.Altiarchaeota,B
GCF.002201895.1.Archaea.Euryarchaeota,D
GCA.001587715.1.Archaea.Methanobacteriota.B,C
GCF.002214485.1.Archaea.Methanobacteriota.B,D
GCA.001515205.2.Archaea.Hadarchaeota,B
GCA.003230355.1.Archaea.Hydrothermarchaeota,C
GCA.002502135.1.Archaea.Undinarchaeota,B
GCF.000025525.1.Archaea.Methanobacteriota.A,D
GCA.003009755.1.Archaea.Thermoplasmatota,D
GCA.002495235.1.Archaea.Thermoplasmatota,C
GCA.002494765.1.Archaea.Thermoplasmatota,C
GCA.002011355.1.Archaea.Thermoplasmatota,C
GCA.002502685.1.Archaea.Thermoplasmatota,D
GCA.001595945.1.Archaea.Thermoplasmatota,C
GCA.002497685.1.Archaea.Thermoplasmatota,D
GCF.002078355.1.Archaea.Thermoplasmatota,D
GCA.002878135.1.Archaea.Thermoplasmatota,C
GCA.002011395.1.Archaea.Thermoplasmatota,D
GCA.002495185.1.Archaea.Thermoplasmatota,C
GCA.001800745.1.Archaea.Thermoplasmatota,D
GCA.001595885.1.Archaea.Thermoplasmatota,A
GCA.001421185.1.Archaea.Thermoplasmatota,B
GCA.003034855.1.Archaea.Halobacteriota,B
GCF.000194625.1.Archaea.Halobacteriota,C
GCA.002011165.1.Archaea.Halobacteriota,B
GCA.003194435.1.Archaea.Halobacteriota,B
GCA.001766825.1.Archaea.Halobacteriota,D
GCF.002114285.1.Archaea.Halobacteriota,D
GCA.003158275.1.Archaea.Halobacteriota,C
GCA.002256595.1.Archaea.Halobacteriota,E
GCF.000970205.1.Archaea.Halobacteriota,E
GCF.000011005.1.Archaea.Euryarchaeota,C
GCA.001412335.1.Archaea.Halobacteriota,E
GCF.000019605.1.Archaea.Thermoproteota,E
GCF.001481685.1.Archaea.Thermoproteota,D
GCF.000092185.1.Archaea.Thermoproteota,E
GCF.000011205.1.Archaea.Thermoproteota,B
GCA.002254745.1.Archaea.Thermoproteota,D
GCF.000148385.1.Archaea.Thermoproteota,D
GCA.003019535.1.Archaea.Thermoproteota,D
GCA.001717025.1.Archaea.Thermoproteota,D
GCA.002495485.1.Archaea.Thermoproteota,B
GCA.002255025.1.Archaea.Thermoproteota,C
GCA.001593865.1.Archaea.Thermoproteota,D
GCA.001774245.1.Archaea.Thermoproteota,C
GCA.001593875.1.Archaea.Thermoproteota,C
GCA.001593855.1.Archaea.Thermoproteota,C
GCA.001775995.1.Archaea.Thermoproteota,D
GCA.001273335.1.Archaea.Thermoproteota,B
GCA.002255045.1.Archaea.Thermoproteota,C
GCA.002011085.1.Archaea.Thermoproteota,C
GCA.002011075.1.Archaea.Thermoproteota,B
GCA.001510295.1.Archaea.Thermoproteota,D
GCA.002506605.1.Archaea.Thermoproteota,E
GCA.000405685.1.Archaea.Thermoproteota,B
GCA.000375685.1.Archaea.Thermoproteota,C
GCA.001940655.1.Archaea.Asgardarchaeota,D
GCA.001563325.1.Archaea.Asgardarchaeota,D
GCA.001940665.1.Archaea.Asgardarchaeota,C
GCA.001940755.1.Archaea.Asgardarchaeota,B
GCA.001940725.1.Archaea.Asgardarchaeota,B
GCA.003144275.1.Archaea.Asgardarchaeota,B
GCA.001940645.1.Archaea.Asgardarchaeota,E
GCA.000189635.1.Eukaryota.Ciliophora,E
GCF.000165345.1.Eukaryota.Apicocomplexa,E
GCA.000315625.1.Eukaryota.Cryptophyceae,E
GCA.015473125.1.Eukaryota.Viridiplantae,E
GCF.000091205.1.Eukaryota.Rhodophyta,E
GCA.002049455.2.Eukaryota.Rhodophyta,E
GCA.000004985.1.Eukaryota.Heterolobosea,E
