"BT_node","origin"
"Root","B"
"529","C"
"530","A"
"531","C"
"532","not_sure"
"533","C"
"534","B"
"535","B"
"536","B"
"537","C"
"538","C"
"539","C"
"540","A"
"541","A"
"542","C"
"543","A"
"544","A"
"545","A"
"546","B"
"547","A"
"548","B"
"549","B"
"550","C"
"551","C"
"552","C"
"553","C"
"554","C"
"555","C"
"556","C"
"557","C"
"558","C"
"559","C"
"560","C"
"561","C"
"562","C"
"563","C"
"564","C"
"565","C"
"566","C"
"567","B"
"568","B"
"569","B"
"570","B"
"571","B"
"572","C"
"573","B"
"574","B"
"575","B"
"576","B"
"577","B"
"578","B"
"579","B"
"580","B"
"581","B"
"582","B"
"583","B"
"584","B"
"585","C"
"586","B"
"587","B"
"588","C"
"589","B"
"590","C"
"591","C"
"592","C"
"593","A"
"594","C"
"595","C"
"596","A"
"597","A"
"598","C"
"599","C"
"600","C"
"601","C"
"602","A"
"603","A"
"604","C"
"605","C"
"606","C"
"607","A"
"608","not_sure"
"609","A"
"610","C"
"611","C"
"612","B"
"613","C"
"614","B"
"615","A"
"616","B"
"617","C"
"618","C"
"619","A"
"620","A"
"621","B"
"622","C"
"623","C"
"624","C"
"625","A"
"626","C"
"627","C"
"628","C"
"629","C"
"630","C"
"631","A"
"632","A"
"633","A"
"634","not_sure"
"635","not_sure"
"636","not_sure"
"637","C"
"638","A"
"639","A"
"640","C"
"641","not_sure"
"642","C"
"643","C"
"644","C"
"645","C"
"646","C"
"647","C"
"648","C"
"649","C"
"650","not_sure"
"651","C"
"652","C"
"653","C"
"654","C"
"655","A"
"656","C"
"657","B"
"658","A"
"659","B"
"660","B"
"661","C"
"662","C"
"663","C"
"664","C"
"665","C"
"666","C"
"667","C"
"668","A"
"669","C"
"670","not_sure"
"671","C"
"672","C"
"673","C"
"674","C"
"675","C"
"676","C"
"677","A"
"678","C"
"679","C"
"680","C"
"681","C"
"682","C"
"683","A"
"684","C"
"685","C"
"686","C"
"687","C"
"688","C"
"689","A"
"690","not_sure"
"691","A"
"692","C"
"693","not_sure"
"694","not_sure"
"695","not_sure"
"696","C"
"697","A"
"698","B"
"699","B"
"700","B"
"701","C"
"702","B"
"703","A"
"704","A"
"705","B"
"706","C"
"707","A"
"708","A"
"709","A"
"710","A"
"711","A"
"712","C"
"713","A"
"714","A"
"715","A"
"716","B"
"717","B"
"718","C"
"719","B"
"720","B"
"721","B"
"722","B"
"723","B"
"724","B"
"725","B"
"726","B"
"727","B"
"728","C"
"729","B"
"730","B"
"731","C"
"732","C"
"733","C"
"734","C"
"735","C"
"736","C"
"737","C"
"738","C"
"739","C"
"740","C"
"741","C"
"742","C"
"743","C"
"744","C"
"745","C"
"746","C"
"747","C"
"748","C"
"749","C"
"750","C"
"751","C"
"752","C"
"753","C"
"754","C"
"755","C"
"756","C"
"757","C"
"758","C"
"759","C"
"760","C"
"761","C"
"762","A"
"763","C"
"764","C"
"765","C"
"766","C"
"767","C"
"768","C"
"769","C"
"770","C"
"771","C"
"772","C"
"773","A"
"774","C"
"775","C"
"776","C"
"777","C"
"778","C"
"779","C"
"780","C"
"781","A"
"782","C"
"783","C"
"784","C"
"785","C"
"786","C"
"787","C"
"788","C"
"789","C"
"790","C"
"791","C"
"792","C"
"793","C"
"794","C"
"795","C"
"796","C"
"797","C"
"798","C"
"799","C"
"800","C"
"801","C"
"802","C"
"803","C"
"804","C"
"805","C"
"806","C"
"807","C"
"808","C"
"809","C"
"810","C"
"811","C"
"812","C"
"813","C"
"814","C"
"815","C"
"816","C"
"817","C"
"818","C"
"819","C"
"820","C"
"821","C"
"822","C"
"823","B"
"824","B"
"825","C"
"826","B"
"827","B"
"828","C"
"829","C"
"830","C"
"831","B"
"832","C"
"833","C"
"834","C"
"835","B"
"836","B"
"837","B"
"838","B"
"839","B"
"840","B"
"841","B"
"842","B"
"843","C"
"844","C"
"845","not_sure"
"846","B"
"847","B"
"848","B"
"849","B"
"850","C"
"851","C"
"852","C"
"853","C"
"854","not_sure"
"855","C"
"856","C"
"857","B"
"858","B"
"859","B"
"860","B"
"861","not_sure"
"862","not_sure"
