"BT_node","origin"
"Root","A"
"0","C"
"1","C"
"2","A"
"3","A"
"4","A"
"5","A"
"6","A"
"7","C"
"8","B"
"9","B"
"10","B"
"11","B"
"12","B"
"13","A"
"14","A"
"15","B"
"16","A"
"17","A"
"18","A"
"19","A"
"20","A"
"21","A"
"22","A"
"23","A"
"24","A"
"25","A"
"26","A"
"27","A"
"28","A"
"29","not_sure"
"30","A"
"31","A"
"32","B"
"33","A"
"34","B"
"35","A"
"36","A"
"37","B"
"38","A"
"39","A"
"40","A"
"41","A"
"42","A"
"43","C"
"44","A"
"45","B"
"46","A"
"47","B"
"48","B"
"49","C"
"50","A"
"51","A"
"52","A"
"53","C"
"54","A"
"55","B"
"56","C"
"57","B"
"58","B"
"59","C"
"60","A"
"61","A"
"62","A"
"63","A"
"64","C"
"65","A"
"66","A"
"67","A"
"68","C"
"69","A"
"70","C"
"71","A"
"72","C"
"73","A"
"74","A"
"75","A"
"76","A"
"77","A"
"78","A"
"79","A"
"80","A"
"81","A"
"82","B"
"83","B"
"84","C"
"85","B"
"86","B"
"87","B"
"88","B"
"89","C"
"90","A"
"91","B"
"92","A"
"93","A"
"94","A"
"95","A"
"96","A"
"97","A"
"98","C"
"99","B"
"100","B"
"101","C"
"102","B"
"103","C"
"104","A"
"105","C"
"106","B"
"107","C"
"108","C"
"109","C"
"110","C"
"111","C"
"112","B"
"113","C"
"114","C"
"115","C"
"116","C"
"117","C"
"118","C"
"119","C"
"120","B"
"121","C"
"122","C"
"123","B"
"124","C"
"125","C"
"126","C"
"127","C"
"128","C"
"129","C"
"130","C"
"131","C"
"132","C"
"133","B"
"134","C"
"135","A"
"136","B"
"137","C"
"138","A"
"139","A"
"140","A"
"141","A"
"142","A"
"143","A"
"144","A"
"145","A"
"146","B"
"147","B"
"148","B"
"149","C"
"150","B"
"151","A"
"152","A"
"153","A"
"154","A"
"155","C"
"156","A"
"157","B"
"158","B"
"159","B"
"160","B"
"161","C"
"162","C"
"163","A"
"164","C"
"165","A"
"166","B"
"167","C"
"168","C"
"169","B"
"170","C"
"171","B"
"172","B"
"173","A"
"174","B"
"175","B"
"176","C"
"177","A"
"178","A"
"179","A"
"180","A"
"181","A"
"182","A"
"183","B"
"184","A"
"185","B"
"186","C"
"187","A"
"188","C"
"189","C"
"190","C"
"191","C"
"192","C"
"193","B"
"194","A"
"195","C"
"196","C"
"197","C"
"198","C"
"199","C"
"200","A"
"201","A"
"202","A"
"203","C"
"204","C"
"205","A"
"206","A"
"207","B"
"208","B"
"209","A"
"210","B"
"211","B"
"212","not_sure"
"213","B"
"214","B"
"215","A"
"216","B"
"217","A"
"218","A"
"219","A"
"220","A"
"221","B"
"222","A"
"223","B"
"224","B"
"225","A"
"226","B"
"227","B"
"228","B"
"229","C"
"230","B"
"231","B"
"232","B"
"233","B"
"234","B"
"235","B"
"236","A"
"237","A"
"238","B"
"239","B"
"240","B"
"241","B"
"242","B"
"243","B"
"244","B"
"245","C"
"246","B"
"247","B"
"248","C"
"249","B"
"250","B"
"251","C"
"252","B"
"253","C"
"254","C"
"255","B"
"256","B"
"257","B"
"258","B"
"259","B"
"260","B"
"261","B"
"262","C"
"263","B"
"264","B"
"265","B"
"266","C"
"267","B"
"268","B"
"269","B"
"270","B"
"271","B"
"272","B"
"273","B"
"274","A"
"275","A"
"276","A"
"277","B"
"278","B"
"279","B"
"280","B"
"281","C"
"282","B"
"283","B"
"284","not_sure"
"285","C"
"286","B"
"287","A"
"288","B"
"289","B"
"290","A"
"291","B"
"292","A"
"293","A"
"294","B"
"295","C"
"296","B"
"297","B"
"298","A"
"299","A"
"300","B"
"301","B"
"302","C"
"303","B"
"304","B"
"305","C"
"306","A"
"307","A"
"308","B"
"309","A"
"310","B"
"311","B"
"312","B"
"313","C"
"314","B"
"315","B"
"316","B"
"317","B"
"318","C"
"319","A"
"320","B"
"321","B"
"322","B"
"323","B"
"324","B"
"325","C"
"326","C"
"327","C"
"328","A"
"329","A"
"330","C"
"331","C"
"332","C"
"333","A"
"334","B"
"335","C"
"336","C"
"337","A"
"338","C"
"339","A"
"340","A"
"341","A"
"342","C"
"343","C"
"344","C"
"345","A"
"346","C"
"347","C"
"348","B"
"349","B"
"350","C"
"351","B"
"352","B"
"353","C"
"354","C"
"355","C"
"356","C"
"357","B"
"358","B"
"359","C"
"360","B"
"361","B"
"362","B"
"363","B"
"364","A"
"365","A"
"366","A"
"367","C"
"368","C"
"369","A"
"370","C"
"371","B"
"372","B"
"373","C"
"374","C"
"375","A"
"376","B"
"377","C"
"378","A"
"379","A"
"380","A"
"381","B"
"382","B"
"383","A"
"384","A"
"385","A"
"386","A"
"387","B"
"388","B"
"389","C"
"390","C"
"391","C"
"392","C"
"393","C"
"394","B"
"395","C"
"396","A"
"397","B"
"398","C"
"399","A"
"400","A"
"401","B"
"402","C"
"403","A"
"404","A"
"405","B"
"406","C"
"407","B"
"408","C"
"409","B"
"410","C"
"411","B"
"412","A"
"413","B"
"414","B"
"415","B"
"416","B"
"417","C"
"418","B"
"419","B"
"420","B"
"421","A"
"422","B"
"423","A"
"424","C"
"425","B"
"426","A"
"427","B"
"428","B"
"429","C"
"430","A"
"431","C"
"432","C"
"433","C"
"434","C"
"435","A"
"436","A"
"437","A"
"438","A"
"439","B"
"440","B"
"441","A"
"442","A"
"443","A"
"444","A"
"445","A"
"446","B"
"447","C"
"448","C"
"449","A"
"450","C"
"451","A"
"452","C"
"453","C"
"454","A"
"455","A"
"456","A"
"457","A"
"458","B"
"459","A"
"460","not_sure"
"461","A"
"462","A"
"463","A"
"464","A"
"465","A"
"466","B"
"467","B"
"468","B"
"469","B"
"470","B"
"471","C"
"472","C"
"473","A"
"474","A"
"475","C"
"476","A"
"477","A"
"478","A"
"479","B"
"480","B"
"481","A"
"482","B"
"483","C"
"484","C"
"485","B"
"486","B"
"487","C"
"488","B"
"489","C"
"490","C"
"491","B"
"492","B"
"493","C"
"494","C"
"495","C"
"496","B"
"497","C"
"498","B"
"499","B"
"500","A"
"501","C"
"502","A"
"503","A"
"504","A"
"505","B"
"506","A"
"507","B"
"508","B"
"509","B"
"510","B"
"511","A"
"512","A"
"513","B"
"514","C"
"515","A"
"516","A"
"517","A"
"518","A"
"519","A"
"520","A"
"521","A"
"522","A"
"523","B"
"524","A"
"525","A"
"526","A"
"527","B"
"528","B"
"529","B"
"530","A"
"531","B"
"532","C"
"533","C"
"534","B"
"535","B"
"536","B"
"537","C"
"538","B"
"539","C"
"540","A"
"541","C"
"542","A"
"543","A"
"544","A"
"545","A"
"546","C"
"547","A"
"548","A"
"549","B"
"550","C"
"551","B"
"552","C"
"553","B"
"554","C"
"555","C"
"556","C"
"557","C"
"558","C"
"559","C"
"560","C"
"561","C"
"562","C"
"563","C"
"564","C"
"565","B"
"566","C"
"567","B"
"568","B"
"569","B"
"570","B"
"571","B"
"572","B"
"573","B"
"574","B"
"575","B"
"576","C"
"577","B"
"578","B"
"579","B"
"580","B"
"581","B"
"582","B"
"583","B"
"584","B"
"585","B"
"586","B"
"587","B"
"588","B"
"589","B"
"590","C"
"591","C"
"592","C"
"593","A"
"594","B"
"595","B"
"596","C"
"597","C"
"598","C"
"599","C"
"600","B"
"601","B"
"602","C"
"603","C"
"604","C"
"605","B"
